[Gap-Up Stocks]
Symbol,Rank,Lot,GAP Value,GAP Diff,Quality Score,Diff_3Y,ATH Gap%,LTP,Intrinsic,3Y,ATH,Volatility%,Details
IMOS,2011,100,55.09 - 59.01,6.64,4,22.0,22.0,61.3,22.33,78.35,78.35,2.2,(Stock Name: ChipMOS TECHNOLOGIES INC.; Sector: Technology; Intrinsic: 22.33; Revenue: 2698 cr; Net Profit: 225 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 78.35 => 22.0%; SMA 200: 47.22 => 22.97%; RSI: 60.99; Day Volatility: 2.2; Week Volatility: 8.58; Month Volatility: 29.55; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 12.78 => 79.15%; Week Support: 12.78 => 79.15%; Month Support: 12.78 => 79.15%; Day NWE: 44.64 => 27.18%; Week NWE: 47.42 => 22.64%; Month NWE: 32.66 => 46.73%)
DLPN,5356,100,1.11 - 1.18,5.93,-2,73.0,99.0,1.11,0.48,4.14,204.0,4.63,(Stock Name: Dolphin Entertainment, Inc.; Sector: Communication Services; Intrinsic: 0.48; Revenue: 6 cr; Net Profit: 0 cr; Recommended: none; Projected High: 3.0; Projected Medium: 3.0; Projected Low: 3.0; All time high: 204.0 => 99.0%; SMA 200: 1.38 => -24.65%; RSI: 46.84; Day Volatility: 4.63; Week Volatility: 11.38; Month Volatility: 21.98; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.75 => 32.43%; Week Support: 0.75 => 32.43%; Month Support: 0.75 => 32.43%; Day NWE: 1.02 => 8.29%; Week NWE: 0.85 => 23.26%; Month NWE: -10.02 => 1002.41%)
CATO,4937,100,2.38 - 2.52,5.56,-3,71.0,94.0,2.51,8.84,8.58,44.89,3.87,(Stock Name: Cato Corporation (The); Sector: Consumer Cyclical; Intrinsic: 8.84; Revenue: 64 cr; Net Profit: -1 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 44.89 => 94.0%; SMA 200: 3.08 => -22.82%; RSI: 39.52; Day Volatility: 3.87; Week Volatility: 14.23; Month Volatility: 29.77; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.59 => -3.19%; Week Support: 2.59 => -3.19%; Month Support: 2.19 => 12.75%; Day NWE: 2.16 => 13.88%; Week NWE: 1.73 => 31.22%; Month NWE: -2.5 => 199.44%)
ORBS,3271,100,0.91 - 0.96,5.32,-3,99.0,100.0,1.04,0.92,83.12,4537.5,8.26,(Stock Name: Eightco Holdings Inc.; Sector: Consumer Cyclical; Intrinsic: 0.92; Revenue: 3 cr; Net Profit: -32 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 4537.5 => 100.0%; SMA 200: 1.13 => -8.4%; RSI: 60.45; Day Volatility: 8.26; Week Volatility: 18.97; Month Volatility: 43.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.98 => 6.15%; Week Support: 0.98 => 6.15%; Month Support: 0.98 => 6.15%; Day NWE: 0.72 => 31.09%; Week NWE: -1.67 => 260.68%; Month NWE: 0.0 => 100.0%)
DFDV,4106,100,5.0 - 5.27,5.12,-1,89.0,89.0,6.06,-0.39,53.88,53.88,8.35,(Stock Name: DeFi Development Corp.; Sector: Financial Services; Intrinsic: -0.39; Revenue: 2 cr; Net Profit: -20 cr; Recommended: strong_buy; Projected High: 10.4; Projected Medium: 8.7; Projected Low: 7.0; All time high: 53.88 => 89.0%; SMA 200: 4.29 => 29.13%; RSI: 65.99; Day Volatility: 8.35; Week Volatility: 19.61; Month Volatility: 31.75; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.48 => 92.06%; Month Support: 0.48 => 92.06%; Day NWE: 4.14 => 31.6%; Week NWE: -2.53 => 141.67%; Month NWE: 0.0 => 100.0%)
CIFR,1084,100,16.94 - 17.8,4.83,-2,39.0,39.0,18.34,1.36,30.14,30.14,7.52,(Stock Name: Cipher Digital Inc.; Sector: Technology; Intrinsic: 1.36; Revenue: 19 cr; Net Profit: -112 cr; Recommended: strong_buy; Projected High: 69.0; Projected Medium: 28.0; Projected Low: 22.0; All time high: 30.14 => 39.0%; SMA 200: 18.38 => -0.19%; RSI: 54.37; Day Volatility: 7.52; Week Volatility: 22.65; Month Volatility: 45.02; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 11.72 => 36.1%; Week Support: 11.72 => 36.1%; Month Support: 1.86 => 89.86%; Day NWE: 11.38 => 37.94%; Week NWE: 13.02 => 29.02%; Month NWE: 0.0 => 100.0%)
CAN,3840,100,0.32 - 0.34,4.78,-3,89.0,99.0,0.37,0.39,3.5,39.1,8.58,(Stock Name: Canaan Inc.; Sector: Technology; Intrinsic: 0.39; Revenue: 44 cr; Net Profit: -30 cr; Recommended: strong_buy; Projected High: 2.1; Projected Medium: 2.0; Projected Low: 0.75; All time high: 39.1 => 99.0%; SMA 200: 0.48 => -29.08%; RSI: 57.72; Day Volatility: 8.58; Week Volatility: 25.83; Month Volatility: 48.59; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.54 => -43.43%; Week Support: 0.54 => -43.43%; Month Support: 0.0 => 100.0%; Day NWE: 0.23 => 37.24%; Week NWE: -0.38 => 203.14%; Month NWE: 0.0 => 100.0%)
BWMX,2927,100,15.97 - 16.77,4.77,3,19.0,65.0,17.31,3.36,21.28,50.1,3.49,(Stock Name: Betterware de Mexico, S.A.P.I. ; Sector: Consumer Cyclical; Intrinsic: 3.36; Revenue: 1485 cr; Net Profit: 126 cr; Recommended: none; Projected High: 31.432255; Projected Medium: 29.864975; Projected Low: 26.454033; All time high: 50.1 => 65.0%; SMA 200: 16.97 => 1.99%; RSI: 66.33; Day Volatility: 3.49; Week Volatility: 6.35; Month Volatility: 14.82; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.0 => 59.56%; Week Support: 7.0 => 59.56%; Month Support: 7.0 => 59.56%; Day NWE: 14.63 => 15.46%; Week NWE: 13.78 => 20.41%; Month NWE: 0.0 => 100.0%)
LVWR,3577,100,1.42 - 1.49,4.7,-1,86.0,87.0,1.63,0.06,12.04,12.5,9.33,(Stock Name: LiveWire Group, Inc.; Sector: Consumer Cyclical; Intrinsic: 0.06; Revenue: 3 cr; Net Profit: -7 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 12.5 => 87.0%; SMA 200: 1.97 => -20.67%; RSI: 64.9; Day Volatility: 9.33; Week Volatility: 26.73; Month Volatility: 66.93; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.93 => 42.94%; Week Support: 0.93 => 42.94%; Month Support: 0.93 => 42.94%; Day NWE: 0.7 => 56.94%; Week NWE: -0.91 => 155.55%; Month NWE: 0.0 => 100.0%)
SBET,2063,100,8.26 - 8.64,4.4,0,92.0,100.0,9.35,6.5,124.12,3952.8,6.68,(Stock Name: SharpLink, Inc.; Sector: Financial Services; Intrinsic: 6.5; Revenue: 5 cr; Net Profit: -171 cr; Recommended: strong_buy; Projected High: 30.0; Projected Medium: 14.0; Projected Low: 8.0; All time high: 3952.8 => 100.0%; SMA 200: 7.45 => 20.36%; RSI: 62.75; Day Volatility: 6.68; Week Volatility: 11.99; Month Volatility: 23.36; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.28 => 75.61%; Week Support: 2.28 => 75.61%; Month Support: 2.28 => 75.61%; Day NWE: 7.34 => 21.51%; Week NWE: -1.23 => 113.13%; Month NWE: -185.52 => 2084.16%)
BRUN,2735,100,16.68 - 17.44,4.36,-1,59.0,59.0,17.27,1.3,42.0,42.0,7.43,(Stock Name: Boost Run Inc.; Sector: Technology; Intrinsic: 1.3; Revenue: 6 cr; Net Profit: -10 cr; Recommended: strong_buy; Projected High: 45.0; Projected Medium: 45.0; Projected Low: 36.0; All time high: 42.0 => 59.0%; SMA 200: 18.03 => -4.4%; RSI: 47.78; Day Volatility: 7.43; Week Volatility: 29.47; Month Volatility: 68.47; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 10.59 => 38.68%; Week Support: 10.59 => 38.68%; Month Support: 0.0 => 100.0%; Day NWE: 8.02 => 53.56%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
STKE,4924,100,1.1 - 1.15,4.35,-3,97.0,97.0,1.2,0.62,34.32,34.32,9.21,(Stock Name: Sol Strategies Inc.; Sector: Financial Services; Intrinsic: 0.62; Revenue: 1 cr; Net Profit: -14 cr; Recommended: strong_buy; Projected High: 6.2; Projected Medium: 6.2; Projected Low: 6.2; All time high: 34.32 => 97.0%; SMA 200: 1.45 => -20.95%; RSI: 52.15; Day Volatility: 9.21; Week Volatility: 17.82; Month Volatility: 58.33; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.85 => 29.42%; Week Support: 0.85 => 29.42%; Month Support: 0.21 => 82.67%; Day NWE: 0.76 => 36.56%; Week NWE: -6.55 => 646.13%; Month NWE: 0.0 => 100.0%)
ASST,1874,100,28.28 - 29.54,4.27,3,89.0,96.0,30.09,7.88,268.4,698.0,5.75,(Stock Name: Strive, Inc.; Sector: Financial Services; Intrinsic: 7.88; Revenue: 1 cr; Net Profit: -98 cr; Recommended: none; Projected High: 36.0; Projected Medium: 32.0; Projected Low: 21.0; All time high: 698.0 => 96.0%; SMA 200: 15.0 => 50.16%; RSI: 78.59; Day Volatility: 5.75; Week Volatility: 13.44; Month Volatility: 23.28; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.02 => 76.67%; Week Support: 7.02 => 76.67%; Month Support: 6.7 => 77.73%; Day NWE: 22.24 => 26.08%; Week NWE: -27.56 => 191.61%; Month NWE: 0.0 => 100.0%)
SECZ,2178,100,8.93 - 9.32,4.18,-3,21.0,21.0,10.86,-18.05,13.7,13.7,8.5,(Stock Name: Securitize Corp.; Sector: Technology; Intrinsic: -18.05; Revenue: 7 cr; Net Profit: -6 cr; Recommended: strong_buy; Projected High: 15.0; Projected Medium: 11.0; Projected Low: 10.0; All time high: 13.7 => 21.0%; SMA 200: 0.0 => 100.0%; RSI: 72.28; Day Volatility: 8.5; Week Volatility: 17.71; Month Volatility: 0.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 0.0 => 100.0%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
UPXI,4520,100,1.05 - 1.1,4.09,-1,97.0,99.0,1.19,-0.78,39.8,187.4,8.15,(Stock Name: Upexi, Inc.; Sector: Communication Services; Intrinsic: -0.78; Revenue: 3 cr; Net Profit: -23 cr; Recommended: strong_buy; Projected High: 2.0; Projected Medium: 2.0; Projected Low: 2.0; All time high: 187.4 => 99.0%; SMA 200: 1.26 => -5.54%; RSI: 63.68; Day Volatility: 8.15; Week Volatility: 17.32; Month Volatility: 37.8; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.54 => 54.62%; Week Support: 0.54 => 54.62%; Month Support: 0.0 => 100.0%; Day NWE: 0.85 => 28.52%; Week NWE: -2.51 => 310.92%; Month NWE: 0.0 => 100.0%)
