
[Long Strangle - Buy OTM Call and OTM Put - Long Expiry]
Symbol,Beta,Last Change %,Volatility%,days,Strength,Rank,Intrinsic,PE,LTP,Call Strike,Call Premium,Put Strike,Put Premium,Total Premium,Total Premium %,Details
RGA,0.464,-1.15,1.49,37,M,728,209.735,10.88,247.14,260,4.1,240,4.9,900,8.85,(Stock Name: Reinsurance Group of America. I; Sector: Financial Services; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 209.74; Revenue: 2597.0cr; Net Profit: 151.0cr; Recommended: buy; Projected High: 302.0; Projected Medium: 280.0; Projected Low: 235.0; All time high: 257.81 => 4.0%; SMA 200: 213.67 => 13.54%; RSI: 64.93; Day Volatility: 1.49; Week Volatility: 4.52; Month Volatility: 7.87; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 159.25 => 35.56%; Week Support: 159.25 => 35.56%; Month Support: 159.25 => 35.56%; Day NWE: 235.39 => 4.76%; Week NWE: 213.29 => 13.7%; Month NWE: 179.6 => 27.33%)
GEHC,0.821,-1.05,2.24,37,F,492,24.298,15.39,66.78,67.5,3.5,65,1.7,520,8.870000000000001,(Stock Name: GE HealthCare Technologies Inc.; Sector: Healthcare; Strength: F - Large Cap / Blue-chip ; Intrinsic: 24.3; Revenue: 2127.0cr; Net Profit: 198.0cr; Recommended: buy; Projected High: 96.0; Projected Medium: 83.0; Projected Low: 70.0; All time high: 94.8 => 30.0%; SMA 200: 72.74 => -8.93%; RSI: 41.59; Day Volatility: 2.24; Week Volatility: 6.44; Month Volatility: 13.7; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 57.65 => 13.67%; Week Support: 57.65 => 13.67%; Month Support: 57.65 => 13.67%; Day NWE: 65.46 => 1.97%; Week NWE: 56.23 => 15.79%; Month NWE: 0.0 => 100.0%)
NVDA,2.217,1.16,3.27,30,S,1,9.483,28.57,225.73,230,7.4,225,8.4,1580,8.89,(Stock Name: NVIDIA Corporation; Sector: Technology; Strength: S - Crypto / AI / High hype ; Intrinsic: 9.48; Revenue: 30297.0cr; Net Profit: 19288.0cr; Recommended: strong_buy; Projected High: 515.0; Projected Medium: 315.0; Projected Low: 180.0; All time high: 236.54 => 5.0%; SMA 200: 196.68 => 12.87%; RSI: 60.39; Day Volatility: 3.27; Week Volatility: 7.84; Month Volatility: 0.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 164.27 => 27.23%; Week Support: 164.27 => 27.23%; Month Support: 0.0 => 100.0%; Day NWE: 199.41 => 11.66%; Week NWE: 181.48 => 19.6%; Month NWE: 0.0 => 100.0%)
SCI,0.811,-1.21,1.76,37,M,931,11.252,21.15,80.99,85,1,80,2.2,320,8.9,(Stock Name: Service Corporation Internation; Sector: Consumer Cyclical; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 11.25; Revenue: 437.0cr; Net Profit: 54.0cr; Recommended: strong_buy; Projected High: 105.0; Projected Medium: 100.0; Projected Low: 97.0; All time high: 90.99 => 11.0%; SMA 200: 79.82 => 1.44%; RSI: 48.04; Day Volatility: 1.76; Week Volatility: 5.02; Month Volatility: 10.44; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 71.75 => 11.41%; Week Support: 71.75 => 11.41%; Month Support: 52.89 => 34.7%; Day NWE: 77.02 => 4.9%; Week NWE: 73.82 => 8.85%; Month NWE: 69.83 => 13.77%)
MT,1.755,2.98,1.71,30,M,314,36.351,32.42,77.15,79,3.3,70,1.75,505,8.94,(Stock Name: Arcelor Mittal NY Registry Shar; Sector: Basic Materials; Strength: M - Mixed (both fundamentals + momentum/news driven); Intrinsic: 36.35; Revenue: 6285.0cr; Net Profit: 181.0cr; Recommended: buy; Projected High: 93.0; Projected Medium: 81.15; Projected Low: 56.4; All time high: 107.09 => 28.0%; SMA 200: 59.36 => 23.06%; RSI: 68.42; Day Volatility: 1.71; Week Volatility: 5.73; Month Volatility: 15.05; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 21.59 => 72.02%; Month Support: 20.52 => 73.4%; Day NWE: 67.23 => 12.86%; Week NWE: 60.2 => 21.97%; Month NWE: 44.52 => 42.29%)
ABNB,1.161,-1.13,2.58,37,M,245,13.219,39.85,174.54,175,9.35,170,5.85,1520,8.97,(Stock Name: Airbnb. Inc.; Sector: Consumer Cyclical; Strength: M - Fundamental and Momentum Influence; Intrinsic: 13.22; Revenue: 1316.0cr; Net Profit: 269.0cr; Recommended: buy; Projected High: 220.0; Projected Medium: 185.0; Projected Low: 125.0; All time high: 219.94 => 21.0%; SMA 200: 139.41 => 20.13%; RSI: 56.33; Day Volatility: 2.58; Week Volatility: 7.3; Month Volatility: 12.31; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 110.81 => 36.51%; Week Support: 110.81 => 36.51%; Month Support: 99.88 => 42.78%; Day NWE: 169.63 => 2.81%; Week NWE: 142.25 => 18.5%; Month NWE: 0.0 => 100.0%)
OUNZ,,-1.37,1.48,37,S,,,,41.89,43,1.95,40,0.7,265,8.98,
NDAQ,0.974,-1.58,1.87,37,F,339,21.331,27.71,95.04,97.5,2.7,95,3.4,610,9.01,(Stock Name: Nasdaq. Inc.; Sector: Financial Services; Strength: F - Financials / REITs / Banks ; Intrinsic: 21.33; Revenue: 561.0cr; Net Profit: 197.0cr; Recommended: buy; Projected High: 135.0; Projected Medium: 110.0; Projected Low: 84.0; All time high: 101.79 => 7.0%; SMA 200: 90.39 => 4.9%; RSI: 52.11; Day Volatility: 1.87; Week Volatility: 4.12; Month Volatility: 10.76; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 64.84 => 31.78%; Week Support: 77.09 => 18.89%; Month Support: 46.88 => 50.67%; Day NWE: 91.27 => 3.97%; Week NWE: 79.99 => 15.84%; Month NWE: 76.84 => 19.15%)
TMO,0.854,-1.59,2.3,37,F,77,142.473,32.42,603.02,610,24.1,600,23.3,4740.000000000001,9.02,(Stock Name: Thermo Fisher Scientific Inc; Sector: Healthcare; Strength: F - Tech / High-quality growth ; Intrinsic: 142.47; Revenue: 4634.0cr; Net Profit: 697.0cr; Recommended: buy; Projected High: 750.0; Projected Medium: 650.0; Projected Low: 520.0; All time high: 672.34 => 10.0%; SMA 200: 536.07 => 11.1%; RSI: 57.43; Day Volatility: 2.3; Week Volatility: 6.64; Month Volatility: 10.9; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 385.46 => 36.08%; Week Support: 385.46 => 36.08%; Month Support: 385.46 => 36.08%; Day NWE: 566.64 => 6.03%; Week NWE: 454.38 => 24.65%; Month NWE: 430.04 => 28.69%)
WDS,-0.234,-4.05,1.5,37,M,,18.891,14.58,23.48,25,0.4,17.5,0.2,60.00000000000001,9.030000000000001,(Stock Name: Woodside Energy Group Limited; Sector: Energy; Strength: M - Mixed (both fundamentals + momentum/news driven); Intrinsic: 18.89; Revenue: 1384.0cr; Net Profit: 307.0cr; Recommended: hold; Projected High: 24.325; Projected Medium: 24.325; Projected Low: 24.325; All time high: 52.13 => 55.0%; SMA 200: 20.5 => 12.71%; RSI: 46.93; Day Volatility: 1.5; Week Volatility: 5.45; Month Volatility: 14.62; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 11.26 => 52.04%; Week Support: 11.26 => 52.04%; Month Support: 11.26 => 52.04%; Day NWE: 21.52 => 8.35%; Week NWE: 18.8 => 19.95%; Month NWE: 14.71 => 37.35%)
GD,0.321,-1.17,2.03,72,F,192,99.3,21.76,356.58,360,15.7,350,13.1,2879.9999999999995,9.04,(Stock Name: General Dynamics Corporation; Sector: Industrials; Strength: F - Large Cap / Blue-chip ; Intrinsic: 99.3; Revenue: 5486.0cr; Net Profit: 449.0cr; Recommended: buy; Projected High: 465.0; Projected Medium: 430.0; Projected Low: 319.0; All time high: 400.0 => 11.0%; SMA 200: 354.53 => 0.57%; RSI: 31.03; Day Volatility: 2.03; Week Volatility: 4.82; Month Volatility: 8.72; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 239.2 => 32.92%; Week Support: 239.2 => 32.92%; Month Support: 239.2 => 32.92%; Day NWE: 352.65 => 1.1%; Week NWE: 339.76 => 4.72%; Month NWE: 299.23 => 16.08%)
MCO,1.334,-2.44,2.15,37,F,217,17.467,30.57,481.25,490,17.9,480,16.9,3479.9999999999995,9.049999999999999,(Stock Name: Moody's Corporation; Sector: Financial Services; Strength: F - Mega / Large Cap / Quality names ; Intrinsic: 17.47; Revenue: 816.0cr; Net Profit: 280.0cr; Recommended: buy; Projected High: 610.0; Projected Medium: 570.0; Projected Low: 505.0; All time high: 546.88 => 12.0%; SMA 200: 473.06 => 1.7%; RSI: 49.41; Day Volatility: 2.15; Week Volatility: 5.09; Month Volatility: 9.68; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 402.28 => 16.41%; Week Support: 402.28 => 16.41%; Month Support: 378.71 => 21.31%; Day NWE: 472.9 => 1.74%; Week NWE: 430.13 => 10.62%; Month NWE: 399.91 => 16.9%)
FAST,0.713,-1.08,2.35,37,F,328,3.546,42.21,49.38,50,2.4,47.5,1.45,384.99999999999994,9.049999999999999,(Stock Name: Fastenal Company; Sector: Industrials; Strength: F - Large Cap / Blue-chip ; Intrinsic: 3.55; Revenue: 875.0cr; Net Profit: 135.0cr; Recommended: hold; Projected High: 59.0; Projected Medium: 47.0; Projected Low: 39.9; All time high: 52.92 => 7.0%; SMA 200: 45.37 => 8.13%; RSI: 49.58; Day Volatility: 2.35; Week Volatility: 5.72; Month Volatility: 9.41; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 38.97 => 21.08%; Week Support: 38.97 => 21.08%; Month Support: 21.86 => 55.72%; Day NWE: 47.24 => 4.34%; Week NWE: 42.82 => 13.28%; Month NWE: 39.43 => 20.14%)
BAM,1.26,-1.17,2.27,37,F,225,4.704,28.09,48.87,50,1.9,47.5,1.4,330,9.06,(Stock Name: Brookfield Asset Management Inc; Sector: Financial Services; Strength: F - Mega / Blue-chip / Strong Financials; Intrinsic: 4.7; Revenue: 574.0cr; Net Profit: 280.0cr; Recommended: buy; Projected High: 70.0; Projected Medium: 55.5; Projected Low: 44.0; All time high: 64.1 => 24.0%; SMA 200: 49.13 => -0.54%; RSI: 47.55; Day Volatility: 2.27; Week Volatility: 5.85; Month Volatility: 10.2; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 42.2 => 13.65%; Week Support: 42.2 => 13.65%; Month Support: 0.0 => 100.0%; Day NWE: 47.81 => 2.17%; Week NWE: 41.06 => 15.98%; Month NWE: 0.0 => 100.0%)
HAL,0.769,-1.05,2.94,30,F,494,13.201,19.27,36.8,37,1.84,36,1.3,314,9.08,(Stock Name: Halliburton Company; Sector: Energy; Strength: F - Industrials / Energy / Utilities ; Intrinsic: 13.2; Revenue: 2237.0cr; Net Profit: 160.0cr; Recommended: buy; Projected High: 53.0; Projected Medium: 43.0; Projected Low: 29.0; All time high: 74.33 => 50.0%; SMA 200: 34.8 => 5.43%; RSI: 62.86; Day Volatility: 2.94; Week Volatility: 6.51; Month Volatility: 15.79; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 18.72 => 49.13%; Week Support: 18.72 => 49.13%; Month Support: 18.72 => 49.13%; Day NWE: 32.08 => 12.83%; Week NWE: 28.93 => 21.38%; Month NWE: 20.58 => 44.07%)
FIS,0.801,-1.6099999999999999,2.57,37,F,621,31.081,6.06,39.42,40,1.8,37.5,1.2,300,9.08,(Stock Name: Fidelity National Information S; Sector: Technology; Strength: F - Large Cap / Blue-chip ; Intrinsic: 31.08; Revenue: 1220.0cr; Net Profit: 337.0cr; Recommended: buy; Projected High: 77.0; Projected Medium: 50.0; Projected Low: 37.0; All time high: 158.21 => 75.0%; SMA 200: 49.6 => -25.82%; RSI: 51.04; Day Volatility: 2.57; Week Volatility: 8.6; Month Volatility: 14.58; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 66.51 => -68.72%; Week Support: 66.51 => -68.72%; Month Support: 46.91 => -19.0%; Day NWE: 37.63 => 4.55%; Week NWE: 30.76 => 21.97%; Month NWE: 21.81 => 44.68%)
OMC,0.673,-1.44,2.97,37,F,603,35.218,219.27,81.13,82.5,2.8,80,3.2,600,9.08,(Stock Name: Omnicom Group Inc.; Sector: Communication Services; Strength: F - Industrials / Energy / Utilities ; Intrinsic: 35.22; Revenue: 2237.0cr; Net Profit: 39.0cr; Recommended: buy; Projected High: 139.0; Projected Medium: 100.0; Projected Low: 77.0; All time high: 107.0 => 24.0%; SMA 200: 78.03 => 3.82%; RSI: 44.2; Day Volatility: 2.97; Week Volatility: 7.25; Month Volatility: 12.03; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 66.33 => 18.24%; Week Support: 66.33 => 18.24%; Month Support: 72.2 => 11.01%; Day NWE: 80.63 => 0.62%; Week NWE: 70.33 => 13.31%; Month NWE: 61.28 => 24.47%)
HAL,0.769,-1.05,2.94,37,F,494,13.201,19.27,36.8,37,1.86,36,1.29,315.00000000000006,9.1,(Stock Name: Halliburton Company; Sector: Energy; Strength: F - Industrials / Energy / Utilities ; Intrinsic: 13.2; Revenue: 2237.0cr; Net Profit: 160.0cr; Recommended: buy; Projected High: 53.0; Projected Medium: 43.0; Projected Low: 29.0; All time high: 74.33 => 50.0%; SMA 200: 34.8 => 5.43%; RSI: 62.86; Day Volatility: 2.94; Week Volatility: 6.51; Month Volatility: 15.79; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 18.72 => 49.13%; Week Support: 18.72 => 49.13%; Month Support: 18.72 => 49.13%; Day NWE: 32.08 => 12.83%; Week NWE: 28.93 => 21.38%; Month NWE: 20.58 => 44.07%)
OLN,1.193,-1,3.79,37,F,2236,15.015,,17.37,17.5,1.15,15,0.3,145,9.1,(Stock Name: Olin Corporation; Sector: Basic Materials; Strength: F - Industrials / Energy / Utilities ; Intrinsic: 15.02; Revenue: 670.0cr; Net Profit: -20.0cr; Recommended: hold; Projected High: 30.0; Projected Medium: 20.0; Projected Low: 19.0; All time high: 67.25 => 74.0%; SMA 200: 23.29 => -34.08%; RSI: 38.63; Day Volatility: 3.79; Week Volatility: 12.01; Month Volatility: 28.09; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 17.66 => -1.67%; Week Support: 17.66 => -1.67%; Month Support: 17.66 => -1.67%; Day NWE: 14.45 => 16.81%; Week NWE: 12.45 => 28.33%; Month NWE: 5.68 => 67.31%)
DBX,0.649,-1.68,2.85,37,M,1471,-9.96,18.68,33.81,34,1.6,33,1.3,290.00000000000006,9.139999999999999,(Stock Name: Dropbox. Inc.; Sector: Technology; Strength: M - Fundamental and Momentum Influence ; Intrinsic: -9.96; Revenue: 253.0cr; Net Profit: 44.0cr; Recommended: hold; Projected High: 42.0; Projected Medium: 33.0; Projected Low: 23.0; All time high: 43.5 => 22.0%; SMA 200: 27.66 => 18.19%; RSI: 55.29; Day Volatility: 2.85; Week Volatility: 7.96; Month Volatility: 12.03; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 21.69 => 35.83%; Week Support: 21.69 => 35.83%; Month Support: 20.68 => 38.83%; Day NWE: 31.99 => 5.38%; Week NWE: 26.61 => 21.28%; Month NWE: 16.99 => 49.75%)
LH,0.851,-1.06,2.12,37,F,541,106.388,26.87,324.86,340,5.9,320,8.7,1460,9.15,(Stock Name: Labcorp Holdings Inc.; Sector: Healthcare; Strength: F - Large / Blue-chip / Leaders ; Intrinsic: 106.39; Revenue: 1435.0cr; Net Profit: 100.0cr; Recommended: buy; Projected High: 385.0; Projected Medium: 350.0; Projected Low: 293.0; All time high: 341.8 => 5.0%; SMA 200: 275.57 => 15.17%; RSI: 55.12; Day Volatility: 2.12; Week Volatility: 5.04; Month Volatility: 9.01; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 209.38 => 35.55%; Week Support: 209.38 => 35.55%; Month Support: 191.97 => 40.91%; Day NWE: 312.23 => 3.89%; Week NWE: 270.8 => 16.64%; Month NWE: 239.26 => 26.35%)
BX,1.558,-1.69,2.78,30,F,181,11.269,29.97,133.97,135,5.9,133,5.35,1125,9.17,(Stock Name: Blackstone Inc.; Sector: Financial Services; Strength: F - Fundamentals-driven (stable. earnings-based); Intrinsic: 11.27; Revenue: 1548.0cr; Net Profit: 352.0cr; Recommended: buy; Projected High: 184.0; Projected Medium: 140.0; Projected Low: 119.0; All time high: 200.96 => 33.0%; SMA 200: 130.82 => 2.35%; RSI: 45.95; Day Volatility: 2.78; Week Volatility: 7.21; Month Volatility: 13.25; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 101.73 => 24.07%; Week Support: 101.73 => 24.07%; Month Support: 71.72 => 46.47%; Day NWE: 129.9 => 3.04%; Week NWE: 98.87 => 26.2%; Month NWE: 99.07 => 26.05%)
IBIT,,-3.11,2.61,30,S,,,,44.39,44.5,2.19,44,1.77,396,9.17,
UNG,,1.53,2.65,30,S,,,,10.46,10.5,0.59,10,0.33,92,9.180000000000001,
VOD,0.333,1.9900000000000002,1.2,37,M,428,12.640343,,17.31,18,0.4,17,0.5,90,9.19,(Stock Name: Vodafone Group Plc; Sector: Communication Services; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 12.64; Revenue: 4046.0cr; Net Profit: -29.0cr; Recommended: hold; Projected High: 20.94684; Projected Medium: 15.346632; Projected Low: 12.792834; All time high: 42.14 => 59.0%; SMA 200: 14.69 => 15.15%; RSI: 68.51; Day Volatility: 1.2; Week Volatility: 4.56; Month Volatility: 10.44; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.0 => 53.78%; Week Support: 8.0 => 53.78%; Month Support: 8.0 => 53.78%; Day NWE: 14.94 => 13.69%; Week NWE: 13.73 => 20.69%; Month NWE: 9.54 => 44.89%)
DHR,0.808,-1.82,2.65,37,F,123,74.806,36.58,205.23,210,6.7,200,7.5,1420,9.24,(Stock Name: Danaher Corporation; Sector: Healthcare; Strength: F - Large Cap / Blue-chip ; Intrinsic: 74.81; Revenue: 2511.0cr; Net Profit: 399.0cr; Recommended: strong_buy; Projected High: 310.0; Projected Medium: 230.0; Projected Low: 195.0; All time high: 296.06 => 31.0%; SMA 200: 202.83 => 1.17%; RSI: 50.46; Day Volatility: 2.65; Week Volatility: 8.06; Month Volatility: 12.49; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 180.03 => 12.28%; Week Support: 180.03 => 12.28%; Month Support: 171.0 => 16.68%; Day NWE: 194.62 => 5.17%; Week NWE: 166.39 => 18.93%; Month NWE: 152.08 => 25.9%)
COR,0.574,-1.11,1.63,37,M,297,15.988,24.1,324.69,340,5.4,320,9.3,1470,9.24,(Stock Name: Cencora. Inc.; Sector: Healthcare; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 15.99; Revenue: 33277.0cr; Net Profit: 262.0cr; Recommended: buy; Projected High: 430.0; Projected Medium: 370.0; Projected Low: 330.0; All time high: 377.54 => 14.0%; SMA 200: 321.92 => 0.85%; RSI: 59.1; Day Volatility: 1.63; Week Volatility: 5.64; Month Volatility: 12.2; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 135.14 => 58.38%; Month Support: 72.06 => 77.81%; Day NWE: 301.57 => 7.12%; Week NWE: 265.44 => 18.25%; Month NWE: 274.57 => 15.44%)
PRGO,0.597,-1.4000000000000001,4.08,37,F,2199,18.138,,14.92,15,1.1,12.5,0.2,130,9.25,(Stock Name: Perrigo Company plc; Sector: Healthcare; Strength: F - Fundamentals-driven (stable. earnings-based); Intrinsic: 18.14; Revenue: 414.0cr; Net Profit: -170.0cr; Recommended: none; Projected High: 20.0; Projected Medium: 16.0; Projected Low: 14.0; All time high: 215.73 => 93.0%; SMA 200: 12.2 => 18.24%; RSI: 69.1; Day Volatility: 4.08; Week Volatility: 8.67; Month Volatility: 16.44; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 9.23 => 38.14%; Week Support: 9.23 => 38.14%; Month Support: 36.28 => -143.16%; Day NWE: 12.72 => 14.73%; Week NWE: 7.64 => 48.82%; Month NWE: 3.17 => 78.77%)
ICE,0.934,-1.49,1.99,30,F,203,52.676,22.22,157.76,162.5,4,157.5,5.9,990,9.28,(Stock Name: Intercontinental Exchange Inc.; Sector: Financial Services; Strength: F - Large / Blue-chip / Leaders ; Intrinsic: 52.68; Revenue: 1056.0cr; Net Profit: 404.0cr; Recommended: strong_buy; Projected High: 232.0; Projected Medium: 182.0; Projected Low: 163.0; All time high: 189.35 => 17.0%; SMA 200: 155.23 => 1.61%; RSI: 59.94; Day Volatility: 1.99; Week Volatility: 4.83; Month Volatility: 11.59; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 143.17 => 9.25%; Week Support: 143.17 => 9.25%; Month Support: 88.6 => 43.84%; Day NWE: 147.83 => 6.3%; Week NWE: 127.35 => 19.28%; Month NWE: 131.87 => 16.41%)
GSK,0.29,-2.3,1.7,72,F,185,11.933607,15.26,48.54,50,2,45,1.05,305,9.29,(Stock Name: GSK plc; Sector: Healthcare; Strength: F - Large Cap / Blue-chip ; Intrinsic: 11.93; Revenue: 3320.0cr; Net Profit: 482.0cr; Recommended: hold; Projected High: 70.0; Projected Medium: 56.0; Projected Low: 50.0; All time high: 61.7 => 21.0%; SMA 200: 52.28 => -7.71%; RSI: 42.64; Day Volatility: 1.7; Week Volatility: 5.5; Month Volatility: 10.48; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 31.72 => 34.65%; Month Support: 31.72 => 34.65%; Day NWE: 47.91 => 1.3%; Week NWE: 45.35 => 6.57%; Month NWE: 42.74 => 11.94%)
GD,0.321,-1.17,2.03,30,F,192,99.3,21.76,356.58,375,5,355,10,1500,9.370000000000001,(Stock Name: General Dynamics Corporation; Sector: Industrials; Strength: F - Large Cap / Blue-chip ; Intrinsic: 99.3; Revenue: 5486.0cr; Net Profit: 449.0cr; Recommended: buy; Projected High: 465.0; Projected Medium: 430.0; Projected Low: 319.0; All time high: 400.0 => 11.0%; SMA 200: 354.53 => 0.57%; RSI: 31.03; Day Volatility: 2.03; Week Volatility: 4.82; Month Volatility: 8.72; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 239.2 => 32.92%; Week Support: 239.2 => 32.92%; Month Support: 239.2 => 32.92%; Day NWE: 352.65 => 1.1%; Week NWE: 339.76 => 4.72%; Month NWE: 299.23 => 16.08%)
BIP,1.011,-1.11,2.38,37,F,716,9.642,60.1,37.26,40,0.3,35,0.45,75,9.370000000000001,(Stock Name: Brookfield Infrastructure Partn; Sector: Utilities; Strength: F - Industrials / Energy / Utilities; Intrinsic: 9.64; Revenue: 2506.0cr; Net Profit: 29.0cr; Recommended: none; Projected High: 57.0; Projected Medium: 47.0; Projected Low: 41.0; All time high: 46.01 => 19.0%; SMA 200: 37.19 => 0.18%; RSI: 39.77; Day Volatility: 2.38; Week Volatility: 6.72; Month Volatility: 12.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 25.72 => 30.97%; Week Support: 25.72 => 30.97%; Month Support: 25.72 => 30.97%; Day NWE: 35.49 => 4.76%; Week NWE: 34.79 => 6.64%; Month NWE: 30.41 => 18.38%)
IAU,,-1.37,1.51,44,M,224,34.616,,81.95,85,2.2,81.5,2.45,465.00000000000006,9.4,
UHS,1.061,-1.1900000000000002,2.72,37,F,1075,127.49,7.02,171.89,175,7.3,170,5.8,1310,9.43,(Stock Name: Universal Health Services. Inc.; Sector: Healthcare; Strength: F - Mega / Large Cap / Core Holdings ; Intrinsic: 127.49; Revenue: 1811.0cr; Net Profit: 153.0cr; Recommended: buy; Projected High: 290.0; Projected Medium: 191.0; Projected Low: 166.0; All time high: 246.33 => 30.0%; SMA 200: 186.03 => -8.23%; RSI: 50.67; Day Volatility: 2.72; Week Volatility: 7.38; Month Volatility: 12.94; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 152.33 => 11.38%; Week Support: 152.33 => 11.38%; Month Support: 82.5 => 52.0%; Day NWE: 157.65 => 8.28%; Week NWE: 126.97 => 26.13%; Month NWE: 140.26 => 18.4%)
TXN,1.314,1.08,2.56,37,F,73,19.723,39.29,258.92,260,14.05,250,9.3,2335,9.44,(Stock Name: Texas Instruments Incorporated; Sector: Technology; Strength: F - Tech / High-quality growth ; Intrinsic: 19.72; Revenue: 1945.0cr; Net Profit: 602.0cr; Recommended: buy; Projected High: 400.0; Projected Medium: 340.0; Projected Low: 225.0; All time high: 334.03 => 22.0%; SMA 200: 239.38 => 7.55%; RSI: 41.49; Day Volatility: 2.56; Week Volatility: 7.16; Month Volatility: 18.43; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 152.73 => 41.01%; Week Support: 152.73 => 41.01%; Month Support: 139.95 => 45.95%; Day NWE: 226.77 => 12.42%; Week NWE: 234.92 => 9.27%; Month NWE: 198.29 => 23.42%)
J,0.679,-1.18,2.14,37,M,715,27.87,47.93,144.27,150,3.4,140,4.5,790,9.45,(Stock Name: Jacobs Solutions Inc.; Sector: Industrials; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 27.87; Revenue: 1422.0cr; Net Profit: 36.0cr; Recommended: buy; Projected High: 181.0; Projected Medium: 163.0; Projected Low: 144.0; All time high: 168.44 => 14.0%; SMA 200: 132.72 => 8.01%; RSI: 53.17; Day Volatility: 2.14; Week Volatility: 5.75; Month Volatility: 10.78; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 105.18 => 27.1%; Week Support: 105.18 => 27.1%; Month Support: 105.18 => 27.1%; Day NWE: 137.92 => 4.4%; Week NWE: 118.02 => 18.19%; Month NWE: 114.64 => 20.54%)
PSX,0.704,-1.13,2.77,37,M,179,78.958,14.79,259.14,260,14.7,250,9,2370,9.48,(Stock Name: Phillips 66; Sector: Energy; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 78.96; Revenue: 15217.0cr; Net Profit: 709.0cr; Recommended: buy; Projected High: 335.0; Projected Medium: 234.0; Projected Low: 160.0; All time high: 260.68 => 1.0%; SMA 200: 172.39 => 33.48%; RSI: 74.79; Day Volatility: 2.77; Week Volatility: 6.07; Month Volatility: 12.1; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 91.01 => 64.88%; Week Support: 91.01 => 64.88%; Month Support: 91.01 => 64.88%; Day NWE: 223.82 => 13.63%; Week NWE: 184.23 => 28.91%; Month NWE: 140.1 => 45.94%)
