[Investment Summary]
Particulars,Value
Total Deposit,💵 10468                        
Total Withdrawal,💵 -6915                        
<b>Total Invested</b>,💵 <b>3553                        </b>
Closed Equity,📑 -2202                        
Closed Options,📑 3248                        
Brokerage,🏦 -151                        
<b>Realised P/L</b>,💵 <b>895                        </b>
Other Charges,🏦 -22                        
<b> Matured Investment</b>,💵 <b>4426                        </b>
Active Equity,📑 -354                        
Active Options,📑 -52                        
<b>Unrealised P/L</b>,💵 <b>-406                        </b>
[Closed Equity Trades]
Symbol,Entry,Exit,Qty,Buy Price,Sell Price,Holding Period,Margin,P&L,Commission
AUR   260327C00004500,2026-03-09,2026-03-27,1.0,0.0,0.28,19,0.28,28.000000000000004,-1.05124
AVAH  270319C00015000,,2026-08-21,0.0,2.05,0.28,166,-1.7699999999999998,0.0,-1.04028
AVAH  270319P00012500,,2026-08-21,0.0,1.89,0.28,166,-1.6099999999999999,0.0,-1.0333
BB    260410C00003500,2026-04-08,2026-04-10,1.0,0.0,0.17,3,0.17,17.0,-1.0515902
BBAI  260327C00004000,2026-03-09,2026-03-27,1.0,0.0,0.43,19,0.43,43.0,-1.05124
BITF  260227C00002000,2026-02-19,2026-02-27,1.0,0.0,0.15,9,0.15,15.0,-1.05204
BITF  260313C00002000,2026-03-03,2026-03-13,1.0,0.0,0.13,11,0.13,13.0,-0.77124
BKKT  260320C00009500,2026-03-16,2026-03-20,1.0,0.0,1.0,5,1.0,100.0,-0.05124
BKKT  260327C00009000,2026-03-23,2026-03-27,1.0,0.0,0.36,5,0.36,36.0,-1.05374
BSOL  270219C00009000,2026-08-19,2026-07-14,1.0,3.0,3.24,-36,0.2400000000000002,24.00000000000002,-0.9095443999999999
BSOL  270219C00012000,,2026-08-20,0.0,2.12,3.24,2,1.12,-0.0,-1.04028
BTBT  260529C00002000,2026-05-26,2026-05-29,1.0,0.0,0.08,4,0.08,8.0,-1.0517048
CIFR  270319C00016000,2026-08-21,2026-08-18,1.0,5.18,6.2,-2,1.0200000000000005,102.00000000000004,-1.643422
CIFR  270319C00016000,,2026-08-21,0.0,4.82,6.2,1,1.38,-0.0,-0.78006
CMPX  260320C00006000,2026-02-27,2026-03-16,1.0,0.1,1.95,18,1.8499999999999999,185.0,-3.9499899999999997
CMPX  260320P00005000,2026-03-20,2026-03-16,1.0,0.1,0.0,-4,-0.1,-10.0,-0.04795
CMPX  260417C00005000,2026-03-16,2026-04-17,1.0,0.0,1.71,33,1.71,171.0,-1.05374
CMPX  260417C00006000,2026-03-16,2026-03-16,1.0,1.29,1.25,1,-0.040000000000000036,-4.0000000000000036,-1.10169
CRML  260320C00009000,2026-03-16,2026-03-20,1.0,0.0,0.51,5,0.51,51.0,-1.05124
CRML  260327C00008000,2026-03-23,2026-03-27,1.0,0.0,0.45,5,0.45,45.0,-1.90124
ETHA  260821C00016500,2026-08-21,2026-08-20,1.0,0.75,0.0,-1,-0.75,-75.0,-0.7873
ETHA  260821C00017000,2026-08-20,2026-08-21,1.0,0.0,0.38,2,0.38,38.0,-0.7913728
ETHA  270617C00010000,2026-08-18,2026-07-13,1.0,5.1,5.7,-35,0.6000000000000005,60.00000000000006,-1.849632
FLY   260313C00019500,2026-03-09,2026-03-13,1.0,0.0,1.8,5,1.8,180.0,-0.05124
FRMI  260402C00007000,2026-03-23,2026-03-31,1.0,0.04,0.82,8,0.7799999999999999,77.99999999999999,-2.9491899999999998
FRMI  270617C00003000,,2026-08-20,0.0,3.5,0.82,150,-2.68,0.0,-0.0333
GAP   260529C00024000,2026-05-28,2026-05-29,1.0,0.0,1.44,2,1.44,144.0,-0.6245064
GAP   260618C00023000,2026-06-01,2026-06-18,1.0,0.01,0.24,18,0.22999999999999998,23.0,-1.6702844
GAP   270115C00017000,,2026-07-14,0.0,4.35,0.24,43,-4.109999999999999,0.0,-0.5553
GAP   270115P00017000,2026-07-14,2026-08-18,1.0,1.08,1.4,35,0.31999999999999984,31.999999999999986,-1.116774
GPRO  260306C00001000,2026-03-05,2026-03-06,1.0,0.0,0.06,2,0.06,6.0,-1.05124
GRAB  260702C00003500,2026-05-28,2026-07-02,1.0,0.0,0.26,36,0.26,26.0,-1.0520756
GRAB  270617C00002000,,2026-07-27,0.0,1.55,0.26,60,-1.29,0.0,-0.7673
