[Equity Underperform - Extreme Low Priced Stock List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Recommended,Intrinsic,Intrinsic Gap%,All time high,ATH Gap%,Volatility%,Details
XBIT,4763,100,1.0,-3,2.19,none,4.21,48.0,32.5,93.0,1.96,
AMCX,3550,100,1.0,-3,11.52,underperform,22.09,48.0,87.18,87.0,3.96,(Stock Name: AMC Global Media Inc.; Sector: Communication Services; Intrinsic: 22.09; Revenue: 225 cr; Net Profit: -2 cr; Recommended: underperform; Projected High: 11.0; Projected Medium: 10.0; Projected Low: 9.0; All time high: 87.18 => 87.0%; SMA 200: 9.32 => 19.14%; RSI: 42.64; Day Volatility: 3.96; Week Volatility: 8.7; Month Volatility: 18.43; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.47 => 43.84%; Week Support: 6.47 => 43.84%; Month Support: 5.41 => 53.04%; Day NWE: 11.0 => 4.52%; Week NWE: 9.13 => 20.75%; Month NWE: -7.94 => 168.92%)
PNNT,4003,100,1.0,1,3.4,none,6.55,48.0,13.19,74.0,2.82,(Stock Name: PennantPark Investment Corporat; Sector: Financial Services; Intrinsic: 6.55; Revenue: 10 cr; Net Profit: 1 cr; Recommended: none; Projected High: 5.0; Projected Medium: 5.0; Projected Low: 4.0; All time high: 13.19 => 74.0%; SMA 200: 4.52 => -32.96%; RSI: 37.15; Day Volatility: 2.82; Week Volatility: 6.18; Month Volatility: 20.21; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.72 => -68.24%; Week Support: 5.72 => -68.24%; Month Support: 4.7 => -38.24%; Day NWE: 3.19 => 6.23%; Week NWE: 2.73 => 19.79%; Month NWE: 2.88 => 15.38%)
SHOE,3505,100,1.0,1,13.07,buy,24.9,48.0,46.92,72.0,6.28,(Stock Name: Shoe Station Group, Inc.; Sector: Consumer Cyclical; Intrinsic: 24.9; Revenue: 111 cr; Net Profit: 2 cr; Recommended: buy; Projected High: 15.0; Projected Medium: 15.0; Projected Low: 15.0; All time high: 46.92 => 72.0%; SMA 200: 17.08 => -30.72%; RSI: 42.18; Day Volatility: 6.28; Week Volatility: 15.88; Month Volatility: 27.73; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 16.14 => -23.49%; Week Support: 16.14 => -23.49%; Month Support: 19.24 => -47.21%; Day NWE: 11.5 => 11.98%; Week NWE: 8.48 => 35.14%; Month NWE: 5.83 => 55.4%)
ONEW,4269,100,1.0,-3,9.14,none,17.21,47.0,62.79,85.0,9.08,(Stock Name: OneWater Marine Inc.; Sector: Consumer Cyclical; Intrinsic: 17.21; Revenue: 181 cr; Net Profit: -12 cr; Recommended: none; Projected High: 14.0; Projected Medium: 13.0; Projected Low: 13.0; All time high: 62.79 => 85.0%; SMA 200: 11.36 => -24.33%; RSI: 26.06; Day Volatility: 9.08; Week Volatility: 16.54; Month Volatility: 33.49; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.12 => 11.16%; Week Support: 8.12 => 11.16%; Month Support: 0.0 => 100.0%; Day NWE: 9.3 => -1.8%; Week NWE: 7.78 => 14.87%; Month NWE: 0.0 => 100.0%)
UFI,4396,100,1.0,-2,6.67,none,12.47,47.0,39.21,83.0,3.3,(Stock Name: Unifi, Inc. New; Sector: Consumer Cyclical; Intrinsic: 12.47; Revenue: 53 cr; Net Profit: -2 cr; Recommended: none; Projected High: 12.0; Projected Medium: 12.0; Projected Low: 12.0; All time high: 39.21 => 83.0%; SMA 200: 4.63 => 30.64%; RSI: 43.78; Day Volatility: 3.3; Week Volatility: 13.04; Month Volatility: 17.69; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.96 => 55.62%; Week Support: 2.96 => 55.62%; Month Support: 2.96 => 55.62%; Day NWE: 5.95 => 10.77%; Week NWE: 5.23 => 21.59%; Month NWE: -2.88 => 143.17%)
BOOM,4387,100,1.0,-2,6.16,buy,11.55,47.0,76.68,92.0,4.68,(Stock Name: DMC Global Inc.; Sector: Industrials; Intrinsic: 11.55; Revenue: 59 cr; Net Profit: -2 cr; Recommended: buy; Projected High: 10.0; Projected Medium: 10.0; Projected Low: 10.0; All time high: 76.68 => 92.0%; SMA 200: 6.69 => -8.65%; RSI: 37.44; Day Volatility: 4.68; Week Volatility: 10.2; Month Volatility: 25.19; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.69 => 23.86%; Week Support: 4.69 => 23.86%; Month Support: 13.95 => -126.46%; Day NWE: 5.45 => 11.46%; Week NWE: 4.1 => 33.44%; Month NWE: -9.2 => 249.31%)
GHI,4325,100,1.0,-3,5.97,none,11.2,47.0,24.44,76.0,2.85,(Stock Name: Greystone Housing Impact Invest; Sector: Financial Services; Intrinsic: 11.2; Revenue: 3 cr; Net Profit: -1 cr; Recommended: none; Projected High: 7.0; Projected Medium: 7.0; Projected Low: 7.0; All time high: 24.44 => 76.0%; SMA 200: 6.2 => -3.92%; RSI: 44.25; Day Volatility: 2.85; Week Volatility: 9.21; Month Volatility: 20.91; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.71 => 21.11%; Week Support: 4.71 => 21.11%; Month Support: 10.52 => -76.18%; Day NWE: 5.6 => 6.13%; Week NWE: 3.86 => 35.35%; Month NWE: 1.97 => 67.02%)
HMC,366,100,1.0,1,32.2,buy,61.0,47.0,44.56,28.0,1.17,(Stock Name: Honda Motor Company, Ltd.; Sector: Consumer Cyclical; Intrinsic: 61.0; Revenue: 2251786 cr; Net Profit: -16970 cr; Recommended: buy; Projected High: 34.0; Projected Medium: 33.79912; Projected Low: 32.0; All time high: 44.56 => 28.0%; SMA 200: 28.43 => 11.71%; RSI: 54.14; Day Volatility: 1.17; Week Volatility: 4.11; Month Volatility: 10.76; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 23.25 => 27.8%; Week Support: 23.25 => 27.8%; Month Support: 23.41 => 27.3%; Day NWE: 30.14 => 6.39%; Week NWE: 26.04 => 19.13%; Month NWE: 23.7 => 26.4%)
CION,3527,100,1.0,1,7.13,none,13.57,47.0,15.09,53.0,2.08,(Stock Name: CION Investment Corporation; Sector: Financial Services; Intrinsic: 13.57; Revenue: 23 cr; Net Profit: 0 cr; Recommended: none; Projected High: 9.0; Projected Medium: 8.75; Projected Low: 8.5; All time high: 15.09 => 53.0%; SMA 200: 7.68 => -7.66%; RSI: 48.19; Day Volatility: 2.08; Week Volatility: 7.34; Month Volatility: 17.66; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.51 => -19.35%; Week Support: 8.51 => -19.35%; Month Support: 0.0 => 100.0%; Day NWE: 6.48 => 9.07%; Week NWE: 5.34 => 25.06%; Month NWE: 0.0 => 100.0%)
