ABBV,800,812,ABBV,265.97,100,28.0,-3.359,28.0,2026-07-15,0.65,1.73,6,438 cr,627 cr,buy,nan,153.58,130.96,236.07,215.58,192.78,1.85,5.75,11.45,None,None,None,2026-04-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PLTR,813,821,PLTR,175.19,100,34.0,4.068,34.0,None,nan,nan,615 cr,301 cr,buy,nan,5.92,5.92,141.75,101.74,nan,3.37,10.31,21.4,None,None,None,2026-02-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PG,822,828,PG,144.38,100,45.0,22.947,45.0,2026-07-24,0.75,1.089,8,703 cr,1,575 cr,buy,137.62,137.62,122.18,139.5,136.11,128.78,1.19,4.71,9.5,None,None,None,2026-07-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BAC,829,837,BAC,63.17,100,29.0,39.342,29.0,2026-06-05,0.44,0.28,11,393 cr,3,212 cr,buy,46.12,46.12,33.07,59.66,52.52,43.38,1.66,3.84,9.52,None,None,None,2026-03-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD,838,862,HD,344.3,100,43.0,12.864,43.0,2026-06-04,0.68,2.33,16,659 cr,1,401 cr,buy,326.31,326.31,274.26,320.54,293.02,291.7,2.49,6.21,11.36,None,2026-07-24,None,2026-03-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KO,863,873,KO,90.35,100,36.0,8.401,36.0,2026-06-15,0.59,0.53,5,012 cr,1,431 cr,buy,65.35,65.35,51.55,83.66,77.33,69.27,1.36,4.54,7.68,None,None,None,2025-04-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CAT,874,898,CAT,816.15,100,39.0,42.193,39.0,2026-07-20,0.2,1.63,7,472 cr,1,084 cr,buy,267.3,267.3,267.3,747.67,758.79,602.64,3.07,10.89,19.6,None,None,None,2026-07-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BABA,899,925,BABA,128.9,100,49.0,67.75693,49.0,2026-06-11,0.81,1.05,102,367 cr,10,590 cr,strong_buy,nan,66.63,66.63,109.05,85.77,95.79,1.79,7.97,19.72,None,None,None,2026-03-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AMD,926,940,AMD,466.42,100,20.0,41.191,20.0,None,nan,nan,4,130 cr,647 cr,strong_buy,188.22,188.22,76.48,401.12,406.56,248.67,3.86,16.31,24.82,None,None,None,2026-07-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GE,941,975,GE,356.23,100,40.0,17.001,40.0,2026-07-06,0.13,0.47,5,063 cr,896 cr,strong_buy,159.36,159.36,37.34,334.44,308.88,256.74,2.51,6.08,14.78,None,None,None,2026-03-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CSCO,976,996,CSCO,110.55,100,30.0,12.734,30.0,2026-07-06,0.38,0.42,6,332 cr,1,326 cr,buy,52.11,52.11,44.5,103.75,101.9,75.91,2.66,7.9,14.79,None,None,None,2026-02-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MRK,997,1005,MRK,152.2,100,38.0,16.986,38.0,2026-06-15,0.56,0.85,6,656 cr,317 cr,buy,73.31,73.31,73.31,125.57,111.95,91.44,2.61,6.2,10.84,None,None,None,2025-04-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LRCX,1006,1038,LRCX,307.17,100,37.0,9.967,37.0,2026-06-17,0.08,0.26,2,323 cr,726 cr,strong_buy,56.32,56.32,56.32,259.1,273.78,191.87,4.51,15.7,28.78,None,None,None,2026-07-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AMAT,1039,1091,AMAT,496.17,100,35.0,32.275,35.0,2026-05-21,0.11,0.53,3,083 cr,926 cr,strong_buy,123.74,123.74,123.74,437.5,452.19,299.57,4.4,15.82,27.81,None,None,None,2026-07-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HSBC,1092,1102,HSBC,102.3,100,41.0,12.5975,41.0,2026-08-14,0.49,0.5,6,743 cr,2,110 cr,hold,nan,35.3,24.77,97.71,88.34,71.46,1.1,4.03,10.55,None,None,None,2026-03-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RTX,1103,1113,RTX,220.35,100,52.0,49.25,52.0,2026-08-14,0.33,0.73,9,350 cr,773 cr,buy,112.27,112.27,68.56,205.73,179.88,156.84,1.83,5.14,9.98,None,None,None,2026-04-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PM,1114,1130,PM,189.93,100,53.0,-5.507,53.0,2026-06-25,0.77,1.47,4,254 cr,1,084 cr,none,142.11,142.11,87.23,174.99,161.29,149.45,1.87,6.27,10.82,None,None,None,2026-04-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
UNH,1131,1153,UNH,388.61,100,42.0,108.781,42.0,2026-06-15,0.6,2.32,45,052 cr,1,412 cr,buy,234.6,255.97,234.6,366.55,302.74,248.35,2.02,5.78,12.94,None,None,None,2026-02-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SHEL,1154,1172,SHEL,92.77,100,62.0,61.57,62.0,2026-08-14,0.84,0.7812,29,660 cr,2,597 cr,buy,68.63,68.63,58.54,84.42,77.81,67.79,1.12,4.55,11.09,None,None,None,2026-06-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MS,1173,1189,MS,214.23,100,44.0,67.801,44.0,2026-07-31,0.54,1.15,7,782 cr,1,954 cr,buy,152.8,152.8,69.42,200.13,184.29,152.62,1.71,5.8,11.03,None,None,None,2026-03-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS,1190,1234,GS,1021.65,100,51.0,366.451,51.0,2026-06-01,0.44,4.5,6,757 cr,1,998 cr,hold,439.38,439.38,289.36,960.69,898.08,753.77,1.95,6.74,11.68,None,None,None,2026-03-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IBM,1235,1251,IBM,237.16,100,80.0,36.568,80.0,2026-08-10,0.71,1.69,6,909 cr,1,070 cr,buy,nan,120.55,115.55,190.93,199.89,224.89,2.59,11.47,28.18,None,None,None,2026-07-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WFC,1252,1264,WFC,85.94,100,59.0,53.194,59.0,2026-08-07,0.58,0.5,8,302 cr,2,161 cr,buy,58.42,58.42,35.25,82.46,73.46,67.36,1.86,4.72,10.76,None,None,None,2026-03-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TMUS,1265,1281,TMUS,182.36,100,89.0,52.348,89.0,2026-05-29,0.56,1.02,9,218 cr,1,056 cr,buy,nan,124.92,124.92,167.12,148.78,163.96,2.39,7.57,13.03,None,None,None,2026-07-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QQQ,1282,1356,QQQ,716.08,40,56.0,357.774,56.0,2026-06-22,0.11,0.813,0 cr,0 cr,None,402.39,555.6,402.39,668.41,642.5,543.92,0.97,4.17,8.9,None,None,None,2026-03-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MCD,1357,1385,MCD,267.45,100,95.0,-1.446,95.0,2026-06-02,0.7,1.86,2,770 cr,878 cr,buy,283.47,283.47,243.53,256.58,249.85,260.37,1.89,4.17,9.34,None,2026-08-19,None,2026-03-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
