Chain,CE_03-26,CE_02-26,CE_01-26,strikePrice,PE_01-26,PE_02-26,PE_03-26
Bid,32.9,18.55,1.55,1360,212.2,256.1,0.0
Ask,0,0.2,1.15,1360,182.05,181.5,0.0
Ask,0,0.25,1.75,1320,146,151.9,0.0
Bid,38.95,15.75,1.95,1320,168.45,186.2,0.0
Bid,,10,2.4,1300,169.75,161.35,
Ask,,0.15,2.1,1300,121.25,132.3,
Bid,48.4,12.95,3.1,1280,133.1,142.5,0.0
Ask,0,8.65,2.75,1280,113,119.4,0.0
Ask,,12.2,3.55,1260,94.1,109.8,
Bid,,22.25,4.4,1260,106.7,147.55,
Bid,61.6,41.35,5.95,1240,90.85,131.05,0.0
Ask,0,14.25,5.1,1240,80.6,0,0.0
Ask,,9.75,7.95,1220,37.05,0,
Bid,,32.2,8.7,1220,89.15,125.5,
Bid,98.05,37.2,12.8,1200,57.15,85.9,0.0
Ask,0,14.4,12,1200,50.4,52.25,0.0
Bid,,60.95,19.3,1180,41.3,71.75,
Ask,,33.45,18.65,1180,36.35,0,
Ask,0,28.95,27.45,1160,26.7,0,0.0
Bid,122.55,69.7,27.95,1160,28.55,67.9,117.85
Bid,,98.7,40.3,1140,20.1,74.8,
Ask,,28.1,37.5,1140,17.6,0,
Ask,0,41.95,47.55,1120,12.45,24.5,0.0
Bid,0,102.95,54.9,1120,14.3,70.8,88.85
Bid,,93.15,71.55,1100,11.95,28,
Ask,,0,59.9,1100,8.5,9.05,
Bid,0,115.5,95.25,1080,6.5,27.95,0.0
Ask,0,80.6,81.4,1080,5.85,11.45,0.0
Ask,,0,99.95,1060,4.25,11.35,
Bid,,143.7,113.7,1060,4.95,28.05,
Bid,0,155.05,133,1040,3.85,28.35,0.0
Ask,0,112.2,120,1040,3.3,8.8,0.0
Ask,,109.3,137.95,1020,2.8,0.25,
Bid,,192.05,151.85,1020,3.1,24.8,
Bid,0,198.5,165.85,1000,2.6,11.1,33.35
Ask,0,128.3,160.5,1000,2.15,0.65,0.0
Ask,0,172.9,196.7,960,1.5,0.15,1.25
Bid,0,248.5,210.8,960,1.85,20.05,25.7
Chain,CE_03-26,CE_02-26,CE_01-26,strikePrice,PE_01-26,PE_02-26,PE_03-26
Bid,,13.35,2.6,6100,1168.75,1302.75,
Ask,,1.35,1.5,6100,1127.95,1060.55,
Ask,7.5,2.55,2.25,6000,971.5,975.7,0.0
Bid,40.15,15.35,2.75,6000,1150.85,1141.25,0.0
Bid,,18.05,4.3,5900,1050.1,1046.85,
Ask,,1.8,2.2,5900,878.85,868.55,
Ask,,0.05,1,5850,828.8,817.4,
Bid,,19.75,5.3,5850,978.45,995.2,
Bid,0,21.75,3.4,5800,985.45,949,0.0
Ask,0,1.1,2.6,5800,778.85,766.65,0.0
Bid,,23.8,5.35,5750,875.65,899.05,
Ask,,18.5,2,5750,728.85,716.5,
Ask,0,11.55,3.5,5700,678.8,712.95,0.0
Bid,0,26.95,4,5700,819.05,850.2,0.0
Bid,,28.5,8.8,5650,722.45,828.8,
Ask,,23.5,2.55,5650,682.35,661.8,
Ask,0,6,4.6,5600,576.05,613.8,0.0
Bid,65.3,47.65,4.85,5600,730,775.15,0.0
Bid,,36.2,6,5550,672.25,725.5,
Ask,,0,3.5,5550,518.35,558.55,
Ask,0,36.3,5.15,5500,550.9,505.25,0.0
Bid,80.35,43.65,6.95,5500,565.95,648.65,0.0
Bid,,69,8.35,5450,526.4,574.15,
Ask,,0,7.65,5450,484.75,477.25,
Ask,0,26,9.55,5400,436.85,441.05,0.0
Bid,100.15,55.35,10,5400,478.25,522.8,0.0
Bid,,85.25,12.5,5350,521.8,549.2,
Ask,,56.95,11.55,5350,402.1,391.65,
Ask,0,70,14.7,5300,353.75,377.1,0.0
Bid,127,73.8,15.45,5300,371,470.55,0.0
Bid,,101.95,19.8,5250,325.8,502,
Ask,,77.75,18.7,5250,310.3,243.35,
Bid,164.6,107.75,25.45,5200,280.4,351.85,0.0
Ask,0,92.55,24.5,5200,271.9,307.6,0.0
Ask,,102.85,32.75,5150,220.4,243.7,
Bid,,175.7,34,5150,237.95,0,
Bid,211.6,166.95,45.5,5100,199.2,279.95,0.0
Ask,0,117.85,44.1,5100,187.65,242.75,0.0
Ask,,118.2,58.8,5050,149.9,185.15,
Bid,,213.8,62,5050,163.15,368.4,
Bid,265.5,181.45,79.6,5000,131.25,210.25,285.05
Ask,0,170,77.7,5000,124.2,190,199.55
Ask,,160.05,99.55,4950,100.55,164.3,
Bid,,245.6,103.45,4950,104.55,208.1,
Bid,323.35,244.9,130.85,4900,81.6,188.15,224.1
Ask,223.9,164.55,127.75,4900,78.7,144.2,165.1
Ask,,225.45,121.25,4850,1.55,127.8,
Bid,,305.25,275.35,4850,108.3,174.15,
Bid,388.5,316.1,214.4,4800,48.45,124.95,173.6
Ask,275.9,251.05,179.8,4800,47.3,100.05,133.4
Ask,,280.1,154.05,4750,33.25,97,
Bid,,363.8,296.35,4750,37.65,130.9,
Bid,0,380.75,293.45,4700,28.3,93.4,133.5
Ask,0,321.15,256.8,4700,27.05,56.65,108.55
Bid,,450.55,396.55,4650,22.35,114.45,
Ask,,0,267.4,4650,7.8,73.5,
Ask,0,265.9,344.65,4600,14.4,59.7,0.0
Bid,0,459.65,391.3,4600,17.25,67.6,104.6
Bid,,511,432.95,4550,18.65,71.8,
Ask,,448.55,390.7,4550,4.3,49.65,
Ask,0,402.2,438.15,4500,9.65,43.3,0.0
Bid,0,537.75,484.85,4500,10.85,48.7,154.95
Bid,,595.6,528.85,4450,9.5,56.4,
Ask,,429.95,488,4450,7.85,32.75,
Ask,0,561.85,485.95,4400,1.45,32.55,0.0
Bid,0,713.95,618.4,4400,10,55.55,63.2
Bid,,680.5,701.2,4350,12,32.6,
Ask,,526.5,526.8,4350,1.25,20.3,
Ask,0,662.25,632.15,4300,3.3,15.55,0.0
Bid,0,717.4,676.7,4300,4.95,29.95,49.0
Bid,,821.35,734.25,4250,17.15,26.05,
Ask,,636.55,681.4,4250,0.35,11.25,
Ask,0,676.6,677.4,4200,0.15,8.75,0.0
Bid,0,851.4,831.95,4200,16,23.4,44.45
Chain,CE_03-26,CE_02-26,CE_01-26,strikePrice,PE_01-26,PE_02-26,PE_03-26
Bid,18,22.4,2.35,2240,302.75,339.95,0.0
