[Equity NWE - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
NNN,1064,100,1.0,3,41.55,0.49,-0.71,15.55,2.01,(Stock Name: NNN REIT, Inc.; Sector: Real Estate; Intrinsic: 23.24; Revenue: 95 cr; Net Profit: 38 cr; Recommended: hold; Projected High: 50.5; Projected Medium: 47.5; Projected Low: 45.0; All time high: 59.26 => 30.0%; SMA 200: 44.16 => -6.28%; RSI: 17.42; Day Volatility: 2.01; Week Volatility: 3.69; Month Volatility: 8.72; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 38.9 => 6.38%; Week Support: 38.9 => 6.38%; Month Support: 35.8 => 13.84%; Day NWE: 41.35 => 0.49%; Week NWE: 41.84 => -0.71%; Month NWE: 35.09 => 15.55%)
TMUS,87,100,1.0,4,168.18,0.52,12.44,5.74,3.5,(Stock Name: T-Mobile US, Inc.; Sector: Communication Services; Intrinsic: 52.35; Revenue: 9219 cr; Net Profit: 1056 cr; Recommended: buy; Projected High: 300.0; Projected Medium: 235.0; Projected Low: 169.0; All time high: 276.49 => 39.0%; SMA 200: 193.15 => -14.85%; RSI: 36.32; Day Volatility: 3.5; Week Volatility: 6.95; Month Volatility: 13.21; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 124.92 => 25.72%; Month Support: 124.92 => 25.72%; Day NWE: 167.31 => 0.52%; Week NWE: 147.27 => 12.44%; Month NWE: 158.53 => 5.74%)
QSR,509,100,1.0,4,72.88,0.55,4.23,15.57,2.46,(Stock Name: Restaurant Brands International; Sector: Consumer Cyclical; Intrinsic: 11.03; Revenue: 970 cr; Net Profit: 140 cr; Recommended: buy; Projected High: 104.0; Projected Medium: 85.0; Projected Low: 79.0; All time high: 83.29 => 12.0%; SMA 200: 73.65 => -1.06%; RSI: 36.64; Day Volatility: 2.46; Week Volatility: 6.64; Month Volatility: 10.78; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 61.33 => 15.85%; Week Support: 61.33 => 15.85%; Month Support: 58.71 => 19.44%; Day NWE: 72.48 => 0.55%; Week NWE: 69.8 => 4.23%; Month NWE: 61.53 => 15.57%)
TFX,1311,100,1.0,0,124.52,0.62,17.12,57.32,3.01,(Stock Name: Teleflex Incorporated; Sector: Healthcare; Intrinsic: 68.55; Revenue: 225 cr; Net Profit: -3 cr; Recommended: none; Projected High: 170.0; Projected Medium: 155.0; Projected Low: 138.0; All time high: 449.38 => 72.0%; SMA 200: 124.01 => 0.41%; RSI: 28.88; Day Volatility: 3.01; Week Volatility: 6.41; Month Volatility: 14.39; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 100.18 => 19.55%; Week Support: 100.18 => 19.55%; Month Support: 177.63 => -42.65%; Day NWE: 123.75 => 0.62%; Week NWE: 103.2 => 17.12%; Month NWE: 53.15 => 57.32%)
CTO,2839,100,1.0,3,20.28,0.68,4.15,21.24,1.84,(Stock Name: CTO Realty Growth, Inc.; Sector: Real Estate; Intrinsic: 17.69; Revenue: 16 cr; Net Profit: 5 cr; Recommended: none; Projected High: 25.0; Projected Medium: 25.0; Projected Low: 24.0; All time high: 23.07 => 12.0%; SMA 200: 19.92 => 1.79%; RSI: 26.5; Day Volatility: 1.84; Week Volatility: 3.59; Month Volatility: 8.4; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 15.07 => 25.69%; Week Support: 15.07 => 25.69%; Month Support: 15.07 => 25.69%; Day NWE: 20.14 => 0.68%; Week NWE: 19.44 => 4.15%; Month NWE: 15.97 => 21.24%)
DSL,2492,100,1.0,-3,10.2,0.69,1.31,11.45,1.05,
CSWC,2311,100,1.0,3,23.42,0.71,6.55,25.56,1.63,(Stock Name: Capital Southwest Corporation; Sector: Financial Services; Intrinsic: 16.61; Revenue: 24 cr; Net Profit: 11 cr; Recommended: none; Projected High: 29.0; Projected Medium: 25.5; Projected Low: 21.0; All time high: 28.41 => 18.0%; SMA 200: 23.26 => 0.68%; RSI: 34.08; Day Volatility: 1.63; Week Volatility: 3.62; Month Volatility: 7.91; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 19.37 => 17.29%; Week Support: 19.37 => 17.29%; Month Support: 17.46 => 25.45%; Day NWE: 23.25 => 0.71%; Week NWE: 21.89 => 6.55%; Month NWE: 17.43 => 25.56%)
PINE,3658,100,1.0,3,17.73,0.71,0.72,,1.84,(Stock Name: Alpine Income Property Trust, I; Sector: Real Estate; Intrinsic: 19.17; Revenue: 7 cr; Net Profit: 0 cr; Recommended: none; Projected High: 23.0; Projected Medium: 22.0; Projected Low: 20.0; All time high: 21.99 => 19.0%; SMA 200: 19.02 => -7.28%; RSI: 20.2; Day Volatility: 1.84; Week Volatility: 4.77; Month Volatility: 11.49; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 13.1 => 26.11%; Week Support: 13.1 => 26.11%; Month Support: 13.1 => 26.11%; Day NWE: 17.6 => 0.71%; Week NWE: 17.6 => 0.72%; Month NWE: 0.0 => 100.0%)
THO,1627,100,1.0,2,67.77,0.72,17.48,26.59,3.16,(Stock Name: Thor Industries, Inc.; Sector: Consumer Cyclical; Intrinsic: 82.88; Revenue: 982 cr; Net Profit: 26 cr; Recommended: hold; Projected High: 138.0; Projected Medium: 90.0; Projected Low: 59.0; All time high: 161.48 => 58.0%; SMA 200: 87.18 => -28.64%; RSI: 29.43; Day Volatility: 3.16; Week Volatility: 6.79; Month Volatility: 17.41; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 63.16 => 6.8%; Week Support: 63.16 => 6.8%; Month Support: 63.16 => 6.8%; Day NWE: 67.28 => 0.72%; Week NWE: 55.93 => 17.48%; Month NWE: 49.75 => 26.59%)
KREF,3300,100,1.0,-3,6.79,0.72,12.52,33.55,2.72,(Stock Name: KKR Real Estate Finance Trust I; Sector: Real Estate; Intrinsic: 10.47; Revenue: -7 cr; Net Profit: -21 cr; Recommended: buy; Projected High: 9.5; Projected Medium: 7.25; Projected Low: 7.0; All time high: 23.99 => 72.0%; SMA 200: 7.24 => -6.59%; RSI: 31.37; Day Volatility: 2.72; Week Volatility: 7.06; Month Volatility: 15.15; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.25 => 22.68%; Week Support: 5.25 => 22.68%; Month Support: 6.84 => -0.74%; Day NWE: 6.74 => 0.72%; Week NWE: 5.94 => 12.52%; Month NWE: 4.51 => 33.55%)
