
[Valued Low Price Stock List]
Symbol,Rank,Strength,PE,ATH%,Intrinsic,LTP,Support,Support%,Volatility%,Day Support%,DS_Signal,Week Support%,WS_Signal,Details
UVV,2505,M,59.45,46,55.69,45.18,37.04,21.98,1.8,-9.57,2026-09-11,-9.57,2026-09-11,(Stock Name: Universal Corporation; Sector: Consumer Defensive; Revenue: 285.0cr; Net Profit: 2.0cr; Recommended: none; Projected High: 67.0; Projected Medium: 67.0; Projected Low: 67.0)
UPS,232,F,18.64,57,17.7,100.28,82,22.29,1.62,18.23,,18.23,2026-01-16,(Stock Name: United Parcel Service. Inc.; Sector: Industrials; Revenue: 8993.0cr; Net Profit: 457.0cr; Recommended: buy; Projected High: 135.0; Projected Medium: 117.5; Projected Low: 76.0)
TSN,709,F,32.7,47,51.39,52.98,42.57,24.45,2.69,4.57,,4.57,2025-11-21,(Stock Name: Tyson Foods. Inc.; Sector: Consumer Defensive; Revenue: 5569.0cr; Net Profit: 57.0cr; Recommended: hold; Projected High: 76.0; Projected Medium: 65.5; Projected Low: 56.0)
RYN,1217,M,43.96,56,17.45,20.22,15.96,26.69,2.2,3.61,,3.61,2026-07-31,(Stock Name: Rayonier Inc. REIT; Sector: Real Estate; Revenue: 97.0cr; Net Profit: 8.0cr; Recommended: none; Projected High: 32.0; Projected Medium: 24.5; Projected Low: 23.0)
SNN,847,M,18.71,47,2.43,27.5,21.53,27.73,2.48,,,13.85,2023-10-27,(Stock Name: Smith & Nephew SNATS. Inc.; Sector: Healthcare; Revenue: 630.0cr; Net Profit: 64.0cr; Recommended: hold; Projected High: 38.0; Projected Medium: 31.55; Projected Low: 30.0)
SON,1389,M,7.39,31,36.22,47.84,37.3,28.26,3.91,19.21,2025-11-19,19.21,2025-11-14,(Stock Name: Sonoco Products Company; Sector: Consumer Cyclical; Revenue: 746.0cr; Net Profit: 65.0cr; Recommended: buy; Projected High: 70.0; Projected Medium: 63.0; Projected Low: 56.0)
EIX,564,F,5.78,37,45.34,56,43.63,28.349999999999998,4.23,14.77,,14.77,2025-10-24,(Stock Name: Edison International; Sector: Utilities; Revenue: 1942.0cr; Net Profit: 374.0cr; Recommended: hold; Projected High: 86.0; Projected Medium: 66.5; Projected Low: 50.0)
ZBH,634,F,22.69,47,66.23,93.49,72.2,29.49,3.26,4.57,2026-07-23,4.57,2026-07-17,(Stock Name: Zimmer Biomet Holdings. Inc.; Sector: Healthcare; Revenue: 851.0cr; Net Profit: 81.0cr; Recommended: buy; Projected High: 130.0; Projected Medium: 106.0; Projected Low: 93.0)
MMS,1752,F,8.42,43,33.24,56.92,43.69,30.28,2.6,-10.74,2026-09-11,-10.74,2026-09-11,(Stock Name: Maximus. Inc.; Sector: Industrials; Revenue: 525.0cr; Net Profit: 37.0cr; Recommended: none; Projected High: 110.0; Projected Medium: 92.5; Projected Low: 75.0)
MDT,136,F,22.4,33,39.24,90.96,68.84,32.129999999999995,2.6,,,12.83,2026-07-10,(Stock Name: Medtronic plc.; Sector: Healthcare; Revenue: 3754.0cr; Net Profit: 523.0cr; Recommended: buy; Projected High: 121.0; Projected Medium: 106.0; Projected Low: 85.0)
PFE,106,M,36.47,55,14.95,27.72,20.92,32.5,1.59,24.53,,24.53,2025-08-15,(Stock Name: Pfizer. Inc.; Sector: Healthcare; Revenue: 6370.0cr; Net Profit: 434.0cr; Recommended: buy; Projected High: 35.75; Projected Medium: 28.0; Projected Low: 25.0)
BFS,2794,M,32.24,55,4.48,31.27,23.49,33.12,2.14,6.75,,6.75,2026-03-13,(Stock Name: Saul Centers. Inc.; Sector: Real Estate; Revenue: 30.0cr; Net Profit: 2.0cr; Recommended: none; Projected High: 47.0; Projected Medium: 43.0; Projected Low: 39.0)
DOC,736,F,58,60,11.38,20.3,15.24,33.2,1.95,,,22.66,2024-03-08,(Stock Name: Healthpeak Properties. Inc.; Sector: Real Estate; Revenue: 295.0cr; Net Profit: 24.0cr; Recommended: buy; Projected High: 29.0; Projected Medium: 23.0; Projected Low: 17.0)
BMRN,790,M,177.51,57,32.66,65.68,49.26,33.33,2.49,22.72,2026-05-20,22.72,2026-05-15,(Stock Name: BioMarin Pharmaceutical Inc.; Sector: Healthcare; Revenue: 341.0cr; Net Profit: 7.0cr; Recommended: buy; Projected High: 124.0; Projected Medium: 90.0; Projected Low: 60.0)
