
[Valued Low Price Stock List]
Symbol,Rank,Strength,PE,ATH%,Intrinsic,LTP,Support,Support%,Volatility%,Day Support%,DS_Signal,Week Support%,WS_Signal,Details
PNW,832,F,18.45,14,58.05,96.1,59.03,62.8,1.49,11.22,,11.22,2022-10-21,(Stock Name: Pinnacle West Capital Corporati; Sector: Utilities; Revenue: 555.0cr; Net Profit: 64.0cr; Recommended: hold; Projected High: 129.0; Projected Medium: 106.0; Projected Low: 87.0)
CBSH,1027,M,14.28,16,30.23,58.25,35.55,63.849999999999994,1.44,19.33,2026-05-21,19.33,2026-05-15,(Stock Name: Commerce Bancshares. Inc.; Sector: Financial Services; Revenue: 184.0cr; Net Profit: 58.0cr; Recommended: hold; Projected High: 76.0; Projected Medium: 64.0; Projected Low: 62.0)
D,300,M,22.27,29,31.74,64.36,39.18,64.27000000000001,1.67,13.22,,13.22,2024-03-01,(Stock Name: Dominion Energy. Inc.; Sector: Utilities; Revenue: 1812.0cr; Net Profit: 251.0cr; Recommended: hold; Projected High: 80.0; Projected Medium: 70.0; Projected Low: 66.0)
LCII,1975,M,10.55,44,58.89,91.02,55.29,64.62,4.05,20.56,,20.56,2025-08-08,(Stock Name: LCI Industries; Sector: Consumer Cyclical; Revenue: 403.0cr; Net Profit: 21.0cr; Recommended: buy; Projected High: 175.0; Projected Medium: 122.5; Projected Low: 114.0)
CWT,1749,,21.62,33,29.23,48.22,29.25,64.85,2.06,14.37,,14.37,2025-12-05,(Stock Name: California Water Service Group; Sector: Utilities; Revenue: 105.0cr; Net Profit: 13.0cr; Recommended: none; Projected High: 57.0; Projected Medium: 56.0; Projected Low: 53.0)
CPT,814,F,34,43,37.08,103.01,62.48,64.87,1.67,6.29,2026-04-28,6.29,2026-03-27,(Stock Name: Camden Property Trust; Sector: Real Estate; Revenue: 158.0cr; Net Profit: 33.0cr; Recommended: hold; Projected High: 132.0; Projected Medium: 116.0; Projected Low: 105.0)
QGEN,1003,M,21.57,30,16.26,42.5,25.68,65.5,2.07,11.46,2026-06-23,11.46,2026-06-19,(Stock Name: Qiagen N.V.; Sector: Healthcare; Revenue: 210.0cr; Net Profit: 41.0cr; Recommended: buy; Projected High: 50.0; Projected Medium: 47.0; Projected Low: 40.0)
WLY,2081,M,12.68,34,16.68,47.03,28.38,65.72,6.13,39.66,,39.66,2026-02-20,(Stock Name: John Wiley & Sons. Inc.; Sector: Communication Services; Revenue: 167.0cr; Net Profit: 20.0cr; Recommended: buy; Projected High: 68.0; Projected Medium: 68.0; Projected Low: 68.0)
WABC,2358,M,13.04,14,37.09,59.09,35.52,66.36,1.54,23.96,,23.96,2023-09-08,(Stock Name: Westamerica Bancorporation; Sector: Financial Services; Revenue: 25.0cr; Net Profit: 11.0cr; Recommended: none; Projected High: 64.0; Projected Medium: 64.0; Projected Low: 64.0)
MDLZ,213,F,22.87,21,20.8,62.44,37.42,66.86,1.97,18,,18,2026-01-09,(Stock Name: Mondelez International. Inc.; Sector: Consumer Defensive; Revenue: 3967.0cr; Net Profit: 352.0cr; Recommended: buy; Projected High: 77.0; Projected Medium: 70.0; Projected Low: 55.0)
CAF,3862,M,2.01,52,,18.41,11,67.36,1.12,38.02,,38.02,2024-09-20,
PRGS,2224,M,19.38,43,12.25,39.92,23.82,67.58999999999999,4.34,40.33,,40.33,2026-08-07,(Stock Name: Progress Software Corporation; Sector: Technology; Revenue: 100.0cr; Net Profit: 9.0cr; Recommended: none; Projected High: 83.0; Projected Medium: 50.0; Projected Low: 45.0)
HMC,364,F,,27,61.66,32.52,19.38,67.80000000000001,1.24,28.51,,28.51,2026-04-03,(Stock Name: Honda Motor Company. Ltd.; Sector: Consumer Cyclical; Revenue: 2251786.0cr; Net Profit: -16970.0cr; Recommended: hold; Projected High: 33.79912; Projected Medium: 32.0; Projected Low: 23.0)
VZ,74,F,13.18,19,25.01,50.61,30.14,67.92,1.63,24.15,,24.15,2023-10-27,(Stock Name: Verizon Communications Inc.; Sector: Communication Services; Revenue: 13889.0cr; Net Profit: 1617.0cr; Recommended: buy; Projected High: 71.0; Projected Medium: 51.5; Projected Low: 44.0)
EMA,699,F,21.57,11,30.54,49.19,29.24,68.23,1.41,,,34.95,2024-03-04,(Stock Name: Emera Incorporated; Sector: Utilities; Revenue: 894.0cr; Net Profit: 96.0cr; Recommended: hold; Projected High: 72.0; Projected Medium: 62.5; Projected Low: 53.0)
LNN,2463,F,22.33,36,49.08,116.35,69.11,68.35,3.79,16.4,2026-08-26,16.4,2026-08-14,(Stock Name: Lindsay Corporation; Sector: Industrials; Revenue: 63.0cr; Net Profit: 6.0cr; Recommended: none; Projected High: 125.0; Projected Medium: 123.0; Projected Low: 121.0)
GSK,178,F,15.09,22,11.93,48.13,28.47,69.06,1.66,,,34.1,2025-04-11,(Stock Name: GSK plc; Sector: Healthcare; Revenue: 3320.0cr; Net Profit: 482.0cr; Recommended: hold; Projected High: 70.0; Projected Medium: 56.0; Projected Low: 50.0)
TR,2209,M,30.62,21,12.7,38.89,22.99,69.16,2.19,,,33.15,2024-08-16,(Stock Name: Tootsie Roll Industries. Inc.; Sector: Consumer Defensive; Revenue: 73.0cr; Net Profit: 10.0cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0)
WAFD,1892,M,10.69,14,36.81,33.88,20.01,69.32000000000001,3.19,22.34,,22.34,2025-04-11,(Stock Name: WaFd. Inc.; Sector: Financial Services; Revenue: 76.0cr; Net Profit: 24.0cr; Recommended: hold; Projected High: 40.0; Projected Medium: 38.5; Projected Low: 36.0)
AOS,1187,F,15.99,38,13.55,57.39,33.81,69.74000000000001,1.96,-2.45,2026-09-11,-8.85,2026-09-11,(Stock Name: A.O. Smith Corporation; Sector: Industrials; Revenue: 380.0cr; Net Profit: 50.0cr; Recommended: hold; Projected High: 84.0; Projected Medium: 70.0; Projected Low: 59.0)
PB,1015,M,12.37,18,82.52,71.35,42.02,69.8,1.72,14.41,2025-10-16,14.41,2025-10-10,(Stock Name: Prosperity Bancshares. Inc.; Sector: Financial Services; Revenue: 139.0cr; Net Profit: 56.0cr; Recommended: hold; Projected High: 90.0; Projected Medium: 82.0; Projected Low: 68.0)
INGR,1182,F,10.92,35,71.7,100.49,59.11,70.00999999999999,1.87,-1.78,2026-09-11,-1.78,2026-09-11,(Stock Name: Ingredion Incorporated; Sector: Consumer Defensive; Revenue: 722.0cr; Net Profit: 59.0cr; Recommended: none; Projected High: 150.0; Projected Medium: 115.5; Projected Low: 108.0)
ED,391,F,17.51,8,69.51,106.46,62.03,71.63000000000001,1.51,10.8,,10.8,2020-07-31,(Stock Name: Consolidated Edison. Inc.; Sector: Utilities; Revenue: 1769.0cr; Net Profit: 222.0cr; Recommended: hold; Projected High: 130.0; Projected Medium: 111.0; Projected Low: 94.0)
GBCI,1221,F,18.78,32,33.13,45.83,26.66,71.91,2.12,12.94,,12.94,2023-09-22,(Stock Name: Glacier Bancorp. Inc.; Sector: Financial Services; Revenue: 113.0cr; Net Profit: 31.0cr; Recommended: buy; Projected High: 60.0; Projected Medium: 56.5; Projected Low: 55.0)
DGICA,3001,M,10.08,8,17.94,19.36,11.22,72.55,2.08,14.72,2026-06-03,14.72,2026-05-29,(Stock Name: Donegal Group. Inc.; Sector: Financial Services; Revenue: 96.0cr; Net Profit: 7.0cr; Recommended: none; Projected High: 22.0; Projected Medium: 21.0; Projected Low: 20.0)
BALL,680,F,17.16,42,21.71,59.9,34.71,72.57000000000001,1.71,25.16,,25.16,2025-08-15,(Stock Name: Ball Corporation; Sector: Consumer Cyclical; Revenue: 1433.0cr; Net Profit: 95.0cr; Recommended: buy; Projected High: 79.0; Projected Medium: 73.5; Projected Low: 63.0)
LTC,1953,M,15.1,22,19.63,42.27,24.49,72.6,2.2,20.42,,20.42,2024-04-19,(Stock Name: LTC Properties. Inc.; Sector: Real Estate; Revenue: 34.0cr; Net Profit: 13.0cr; Recommended: buy; Projected High: 55.0; Projected Medium: 45.0; Projected Low: 40.0)
CORN,,M,,62,,19.92,11.52,72.92,1.8,16.62,2026-06-30,14.66,2026-06-29,
CMS,579,M,20.23,16,30.45,67.15,38.78,73.16,1.51,-2.17,2026-09-11,-2.17,2026-09-11,(Stock Name: CMS Energy Corporation; Sector: Utilities; Revenue: 881.0cr; Net Profit: 102.0cr; Recommended: buy; Projected High: 87.0; Projected Medium: 79.0; Projected Low: 68.0)
NGG,224,F,17.35,19,8.9,76.86,44.29,73.54,1.37,,,27.37,2024-06-21,(Stock Name: National Grid Transco. PLC Nati; Sector: Utilities; Revenue: 1769.0cr; Net Profit: 324.0cr; Recommended: buy; Projected High: 99.5; Projected Medium: 97.15; Projected Low: 71.0)
SFNC,1664,,,31,24.11,23.19,13.36,73.58,2,26.69,2025-11-04,26.69,2025-10-31,(Stock Name: Simmons First National Corporat; Sector: Financial Services; Revenue: 11.0cr; Net Profit: -35.0cr; Recommended: buy; Projected High: 27.5; Projected Medium: 26.0; Projected Low: 24.0)
ADC,997,M,38.3,13,51.09,71.23,41.01,73.69,1.48,2.34,,2.34,2024-03-08,(Stock Name: Agree Realty Corporation; Sector: Real Estate; Revenue: 78.0cr; Net Profit: 22.0cr; Recommended: buy; Projected High: 93.0; Projected Medium: 84.0; Projected Low: 80.0)
SLGN,1513,M,15.15,34,22.51,38.63,22.24,73.7,2.78,6.42,2026-06-08,6.42,2026-06-05,(Stock Name: Silgan Holdings Inc.; Sector: Consumer Cyclical; Revenue: 668.0cr; Net Profit: 27.0cr; Recommended: strong_buy; Projected High: 61.0; Projected Medium: 57.0; Projected Low: 47.0)
WERN,1966,M,,26,22.61,37.28,21.45,73.8,4.22,38.14,,38.14,2025-09-05,(Stock Name: Werner Enterprises. Inc.; Sector: Industrials; Revenue: 325.0cr; Net Profit: -5.0cr; Recommended: hold; Projected High: 55.0; Projected Medium: 41.0; Projected Low: 38.0)
CZNC,3219,,17.67,11,19.29,25.97,14.92,74.06,2.02,,,31.27,2024-07-05,(Stock Name: Citizens & Northern Corp; Sector: Financial Services; Revenue: 13.0cr; Net Profit: 3.0cr; Recommended: none; Projected High: 27.0; Projected Medium: 27.0; Projected Low: 27.0)
HMN,2076,M,11.39,12,37.11,48.77,27.81,75.37,2.04,15.34,,15.34,2023-12-29,(Stock Name: Horace Mann Educators Corporati; Sector: Financial Services; Revenue: 175.0cr; Net Profit: 18.0cr; Recommended: none; Projected High: 59.0; Projected Medium: 56.5; Projected Low: 54.0)
IOSP,1945,F,19.03,30,54.54,93.23,53.07,75.67,2.41,29.73,,29.73,2026-07-31,(Stock Name: Innospec Inc.; Sector: Basic Materials; Revenue: 184.0cr; Net Profit: 12.0cr; Recommended: none; Projected High: 110.0; Projected Medium: 100.0; Projected Low: 93.0)
INVH,672,F,25.27,40,15.33,27.54,15.64,76.09,1.73,11.95,2026-07-31,11.95,2026-07-27,(Stock Name: Invitation Homes Inc.; Sector: Real Estate; Revenue: 285.0cr; Net Profit: 66.0cr; Recommended: buy; Projected High: 41.0; Projected Medium: 34.0; Projected Low: 30.0)
COLB,1016,M,11.85,41,26.7,30.11,17.08,76.29,2.27,34.87,,34.87,2024-04-12,(Stock Name: Columbia Banking System. Inc.; Sector: Financial Services; Revenue: 250.0cr; Net Profit: 71.0cr; Recommended: buy; Projected High: 37.0; Projected Medium: 35.0; Projected Low: 30.0)
CBU,1679,M,14.51,24,39.41,62.54,35.38,76.77000000000001,1.57,20.95,,20.95,2024-03-01,(Stock Name: Community Financial System. Inc; Sector: Financial Services; Revenue: 84.0cr; Net Profit: 23.0cr; Recommended: none; Projected High: 75.0; Projected Medium: 69.5; Projected Low: 68.0)
FIBK,1625,F,11.43,28,34.77,36.92,20.81,77.41,1.88,37.84,,37.84,2025-04-14,(Stock Name: First Interstate BancSystem. In; Sector: Financial Services; Revenue: 106.0cr; Net Profit: 32.0cr; Recommended: none; Projected High: 41.0; Projected Medium: 38.5; Projected Low: 33.0)
ATR,1058,F,22.53,30,41.33,124.84,70.32,77.53,2.14,17.31,2026-03-26,17.31,2026-03-13,(Stock Name: AptarGroup. Inc.; Sector: Healthcare; Revenue: 393.0cr; Net Profit: 36.0cr; Recommended: none; Projected High: 220.0; Projected Medium: 164.0; Projected Low: 155.0)
OMC,563,F,213.54,26,35.22,79.01,44.5,77.55,3.64,16.05,2026-02-18,16.05,2026-02-13,(Stock Name: Omnicom Group Inc.; Sector: Communication Services; Revenue: 2237.0cr; Net Profit: 39.0cr; Recommended: buy; Projected High: 139.0; Projected Medium: 100.0; Projected Low: 77.0)
LXP,1608,F,61.45,24,31.45,60.84,34.25,77.64,0.25,43.7,,43.7,2025-08-15,(Stock Name: LXP Industrial Trust; Sector: Real Estate; Revenue: 35.0cr; Net Profit: 6.0cr; Recommended: buy; Projected High: 65.0; Projected Medium: 61.0; Projected Low: 56.0)
YUMC,725,F,15.5,39,15.2,42.32,23.79,77.89,1.84,1.49,2026-07-02,1.49,2026-06-29,(Stock Name: Yum China Holdings. Inc.; Sector: Consumer Cyclical; Revenue: 1244.0cr; Net Profit: 98.0cr; Recommended: strong_buy; Projected High: 77.0; Projected Medium: 61.0; Projected Low: 52.0)
SMP,2725,M,9.68,33,32.13,38.05,21.38,77.97,4.04,9.93,,9.93,2025-04-25,(Stock Name: Standard Motor Products. Inc.; Sector: Consumer Cyclical; Revenue: 184.0cr; Net Profit: 9.0cr; Recommended: none; Projected High: 54.0; Projected Medium: 48.0; Projected Low: 48.0)
POST,1600,F,14.58,36,70.02,80.19,45,78.2,2.45,,,1.67,2026-08-17,(Stock Name: Post Holdings. Inc.; Sector: Consumer Defensive; Revenue: 841.0cr; Net Profit: 29.0cr; Recommended: none; Projected High: 125.0; Projected Medium: 102.0; Projected Low: 86.0)
FRT,922,F,23.1,33,36.88,114.36,64.11,78.38000000000001,1.46,29.48,,29.48,2025-04-04,(Stock Name: Federal Realty Investment Trust; Sector: Real Estate; Revenue: 134.0cr; Net Profit: 43.0cr; Recommended: buy; Projected High: 149.0; Projected Medium: 134.0; Projected Low: 118.0)
TAGS,,M,,62,,28,15.58,79.72,1.4,19.43,,19.43,2026-04-20,
AMH,857,F,24.98,29,18.92,31.48,17.5,79.89,1.67,13.53,2026-06-22,13.53,2026-06-22,(Stock Name: American Homes 4 Rent; Sector: Real Estate; Revenue: 188.0cr; Net Profit: 46.0cr; Recommended: buy; Projected High: 42.0; Projected Medium: 38.0; Projected Low: 33.0)
G,1229,F,10.46,38,15.5,35.14,19.41,81.04,3.14,-9.85,2026-09-11,-9.85,2026-09-11,(Stock Name: Genpact Limited; Sector: Technology; Revenue: 525.0cr; Net Profit: 58.0cr; Recommended: buy; Projected High: 58.0; Projected Medium: 43.0; Projected Low: 31.0)
NWBI,1955,F,15.04,19,13.17,15.49,8.52,81.81,1.59,27.37,,27.37,2023-10-20,(Stock Name: Northwest Bancshares. Inc.; Sector: Financial Services; Revenue: 65.0cr; Net Profit: 15.0cr; Recommended: none; Projected High: 18.0; Projected Medium: 17.0; Projected Low: 15.0)
ASH,1691,F,45.46,38,40.84,70.91,38.88,82.38,2.96,34.71,,34.71,2025-08-15,(Stock Name: Ashland Inc.; Sector: Basic Materials; Revenue: 184.0cr; Net Profit: 8.0cr; Recommended: buy; Projected High: 90.0; Projected Medium: 80.0; Projected Low: 70.0)
ELS,830,F,29.02,32,9.06,60.08,32.94,82.39,1.61,2.26,,2.26,2025-10-24,(Stock Name: Equity Lifestyle Properties. In; Sector: Real Estate; Revenue: 157.0cr; Net Profit: 40.0cr; Recommended: none; Projected High: 78.0; Projected Medium: 71.0; Projected Low: 59.0)
NNN,1029,F,21.61,26,23.24,43.87,24.04,82.49,1.62,11.33,,11.33,2023-11-10,(Stock Name: NNN REIT. Inc.; Sector: Real Estate; Revenue: 95.0cr; Net Profit: 38.0cr; Recommended: hold; Projected High: 50.5; Projected Medium: 47.5; Projected Low: 45.0)
VIV,620,M,14.81,63,7.95,11.85,6.49,82.59,1.97,,,36.96,2025-01-17,(Stock Name: Telefonica Brasil S.A.; Sector: Communication Services; Revenue: 6177.0cr; Net Profit: 660.0cr; Recommended: none; Projected High: 19.298311; Projected Medium: 14.584682; Projected Low: 12.775544)
WPC,681,F,23.67,25,38.07,69.12,37.83,82.71,1.61,8.74,,8.74,2025-01-10,(Stock Name: W. P. Carey Inc. REIT; Sector: Real Estate; Revenue: 182.0cr; Net Profit: 65.0cr; Recommended: buy; Projected High: 88.0; Projected Medium: 80.0; Projected Low: 75.0)
WASH,2799,M,13.84,37,29.02,39.99,21.69,84.37,1.91,36.91,,36.91,2023-10-27,(Stock Name: Washington Trust Bancorp. Inc.; Sector: Financial Services; Revenue: 22.0cr; Net Profit: 6.0cr; Recommended: none; Projected High: 41.0; Projected Medium: 37.0; Projected Low: 36.0)
FCPT,1852,F,21.79,26,10.37,23.97,12.8,87.27000000000001,1.46,4.96,2026-05-27,4.96,2026-05-11,(Stock Name: Four Corners Property Trust. In; Sector: Real Estate; Revenue: 31.0cr; Net Profit: 12.0cr; Recommended: buy; Projected High: 30.0; Projected Medium: 28.0; Projected Low: 26.0)
PPL,508,F,20.17,15,20,34.08,18.12,88.08,1.47,2.67,,2.67,2023-10-20,(Stock Name: PPL Corporation; Sector: Utilities; Revenue: 940.0cr; Net Profit: 126.0cr; Recommended: none; Projected High: 45.0; Projected Medium: 42.0; Projected Low: 36.0)
TRP,266,M,23.97,15,,60.88,32.37,88.08,1.99,,,42.59,2024-02-09,(Stock Name: TC Energy Corporation; Sector: Energy; Revenue: 1569.0cr; Net Profit: 366.0cr; Recommended: buy; Projected High: 73.531624; Projected Medium: 69.79451; Projected Low: 57.582382)
UGI,1044,F,12.62,36,25.28,37.99,20.19,88.16000000000001,1.69,16.77,,16.77,2024-03-01,(Stock Name: UGI Corporation; Sector: Utilities; Revenue: 730.0cr; Net Profit: 67.0cr; Recommended: strong_buy; Projected High: 43.0; Projected Medium: 42.0; Projected Low: 42.0)
SWX,1195,M,22.14,10,56.95,86.11,45.68,88.51,1.8,24.88,,24.88,2023-05-19,(Stock Name: Southwest Gas Holdings. Inc.; Sector: Utilities; Revenue: 174.0cr; Net Profit: 28.0cr; Recommended: none; Projected High: 107.0; Projected Medium: 103.0; Projected Low: 94.0)
PLOW,2658,M,18.29,29,12.99,40.24,21.3,88.92,2.62,47.07,,47.07,2025-04-07,(Stock Name: Douglas Dynamics. Inc.; Sector: Consumer Cyclical; Revenue: 70.0cr; Net Profit: 5.0cr; Recommended: none; Projected High: 57.0; Projected Medium: 54.5; Projected Low: 50.0)
CNA,777,M,10.5,14,41.34,47.67,25.18,89.32,1.88,9.19,2026-06-08,9.19,2026-06-05,(Stock Name: CNA Financial Corporation; Sector: Financial Services; Revenue: 1515.0cr; Net Profit: 124.0cr; Recommended: none; Projected High: 49.0; Projected Medium: 49.0; Projected Low: 49.0)
SRE,312,M,24.16,18,50,83.34,44,89.41,1.89,25.73,,25.73,2025-04-11,(Stock Name: DBA Sempra; Sector: Utilities; Revenue: 1355.0cr; Net Profit: 226.0cr; Recommended: buy; Projected High: 118.0; Projected Medium: 102.0; Projected Low: 84.0)
FHB,1712,F,11.2,27,23.23,25.75,13.56,89.92999999999999,1.74,9.69,,9.69,2023-09-18,(Stock Name: First Hawaiian. Inc.; Sector: Financial Services; Revenue: 88.0cr; Net Profit: 28.0cr; Recommended: none; Projected High: 34.0; Projected Medium: 30.0; Projected Low: 28.0)
FTS,477,F,22.1,8,33.56,54.37,28.59,90.16999999999999,1.29,,,25.84,2023-02-20,(Stock Name: Fortis Inc.; Sector: Utilities; Revenue: 1235.0cr; Net Profit: 173.0cr; Recommended: hold; Projected High: 60.0; Projected Medium: 55.0; Projected Low: 50.0)
LCNB,3783,F,11.05,31,19.69,19.11,10.03,90.53,2.43,22.4,,22.4,2024-06-21,(Stock Name: LCNB Corporation; Sector: Financial Services; Revenue: 9.0cr; Net Profit: 2.0cr; Recommended: none; Projected High: 22.0; Projected Medium: 21.25; Projected Low: 20.5)
PSA,307,F,28.32,30,27.56,296.5,155.37,90.83,2.05,13.48,2026-01-05,13.48,2026-01-02,(Stock Name: Public Storage; Sector: Real Estate; Revenue: 491.0cr; Net Profit: 185.0cr; Recommended: hold; Projected High: 374.0; Projected Medium: 339.5; Projected Low: 285.0)
INDB,1546,F,14.96,17,73.76,82.74,43.28,91.17,1.91,36.97,,36.97,2023-10-06,(Stock Name: Independent Bank Corp.; Sector: Financial Services; Revenue: 95.0cr; Net Profit: 27.0cr; Recommended: none; Projected High: 100.0; Projected Medium: 96.0; Projected Low: 82.0)
CASS,2878,,19.92,11,19.11,55.18,28.85,91.27,2.08,34.63,,34.63,2025-10-17,(Stock Name: Cass Information Systems. Inc; Sector: Industrials; Revenue: 21.0cr; Net Profit: 4.0cr; Recommended: none; Projected High: 61.0; Projected Medium: 59.5; Projected Low: 58.0)
TM,65,F,8.67,22,12.3,198.2,103.62,91.28,1.09,21.8,,21.8,2025-04-04,(Stock Name: Toyota Motor Corporation; Sector: Consumer Cyclical; Revenue: 5195702.0cr; Net Profit: 448380.0cr; Recommended: none; Projected High: 239.31209; Projected Medium: 233.5; Projected Low: 220.0)
DUK,181,F,17.98,11,68.95,119.42,62.13,92.21000000000001,1.36,4.62,,4.62,2023-10-06,(Stock Name: Duke Energy Corporation (Holdin; Sector: Utilities; Revenue: 3280.0cr; Net Profit: 517.0cr; Recommended: none; Projected High: 147.0; Projected Medium: 136.5; Projected Low: 129.0)
TIMB,989,M,10.73,43,10.06,18.89,9.81,92.56,2,-1.87,2026-09-11,-1.87,2026-09-11,(Stock Name: TIM S.A.; Sector: Communication Services; Revenue: 2740.0cr; Net Profit: 433.0cr; Recommended: none; Projected High: 28.5; Projected Medium: 24.0; Projected Low: 21.4)
MANU,,M,,28,1.41,20.05,10.41,92.60000000000001,2.37,39.9,,39.9,2025-06-02,(Stock Name: Manchester; Sector: Communication Services; Revenue: 68.0cr; Net Profit: -2.0cr; Recommended: none; Projected High: 25.810467; Projected Medium: 23.485277; Projected Low: 21.16009)
LNT,643,F,21.28,15,29.04,67.26,34.88,92.83,1.6,,,30.42,2024-02-09,(Stock Name: Alliant Energy Corporation; Sector: Utilities; Revenue: 443.0cr; Net Profit: 82.0cr; Recommended: none; Projected High: 83.0; Projected Medium: 78.0; Projected Low: 73.0)
SELF,4790,M,28.39,31,4.06,5.11,2.65,92.83,2.66,7.44,2025-10-16,7.44,2025-10-10,(Stock Name: Global Self Storage. Inc.; Sector: Real Estate; Revenue: 1.0cr; Net Profit: 0.0cr; Recommended: strong_buy; Projected High: 6.5; Projected Medium: 6.25; Projected Low: 6.0)
HFWA,2479,M,13.53,24,27.13,28.41,14.65,93.92,1.75,24.96,,24.96,2023-09-08,(Stock Name: Heritage Financial Corporation; Sector: Financial Services; Revenue: 30.0cr; Net Profit: 8.0cr; Recommended: none; Projected High: 34.0; Projected Medium: 33.0; Projected Low: 32.0)
T,91,M,8.6,21,16.06,26.06,13.43,94.04,2.07,,,38.83,2023-10-13,(Stock Name: AT&T Inc.; Sector: Communication Services; Revenue: 12724.0cr; Net Profit: 2148.0cr; Recommended: buy; Projected High: 36.0; Projected Medium: 28.0; Projected Low: 20.0)
FRME,1871,F,13.22,19,42.95,41.11,21.18,94.1,1.94,15.69,,15.69,2023-09-22,(Stock Name: First Merchants Corporation; Sector: Financial Services; Revenue: 64.0cr; Net Profit: 18.0cr; Recommended: none; Projected High: 51.0; Projected Medium: 48.0; Projected Low: 45.0)
EVRG,623,F,20.77,8,44.34,81.62,42.01,94.28999999999999,1.54,,,42.51,2024-02-16,(Stock Name: Evergy. Inc.; Sector: Utilities; Revenue: 609.0cr; Net Profit: 93.0cr; Recommended: buy; Projected High: 103.0; Projected Medium: 91.0; Projected Low: 80.0)
EIG,2677,F,62.86,9,47.83,49.66,25.53,94.52000000000001,1.54,28.05,,28.05,2022-10-21,(Stock Name: Employers Holdings Inc; Sector: Financial Services; Revenue: 84.0cr; Net Profit: 1.0cr; Recommended: none; Projected High: 59.0; Projected Medium: 54.0; Projected Low: 49.0)
TRN,1954,F,6.74,28,14.34,28.5,14.53,96.15,2.09,21.47,,21.47,2023-10-20,(Stock Name: Trinity Industries. Inc.; Sector: Industrials; Revenue: 204.0cr; Net Profit: 35.0cr; Recommended: none; Projected High: 34.0; Projected Medium: 34.0; Projected Low: 34.0)
LAZ,1532,M,20.25,33,9.38,41.1,20.94,96.28,5.04,5.91,,5.91,2025-04-18,(Stock Name: Lazard. Inc.; Sector: Financial Services; Revenue: 320.0cr; Net Profit: 22.0cr; Recommended: none; Projected High: 60.0; Projected Medium: 44.5; Projected Low: 42.0)
IDA,1063,F,22.48,13,67.27,135.54,69.05,96.28999999999999,1.81,,,36.23,2024-06-21,(Stock Name: IDACORP. Inc.; Sector: Utilities; Revenue: 180.0cr; Net Profit: 34.0cr; Recommended: none; Projected High: 171.0; Projected Medium: 160.0; Projected Low: 144.0)
WEC,418,F,20.45,12,,105.33,53.66,96.28999999999999,1.49,2.26,,2.26,2024-06-21,(Stock Name: WEC Energy Group. Inc.; Sector: Utilities; Revenue: 1014.0cr; Net Profit: 169.0cr; Recommended: none; Projected High: 140.0; Projected Medium: 121.0; Projected Low: 108.5)
DLTR,555,F,14.46,33,18.25,118.17,60.2,96.3,3.59,28.32,,28.32,2025-03-21,(Stock Name: Dollar Tree. Inc.; Sector: Consumer Defensive; Revenue: 2007.0cr; Net Profit: 162.0cr; Recommended: hold; Projected High: 170.0; Projected Medium: 140.0; Projected Low: 98.0)
GTY,2070,M,19.56,12,18.13,32.27,16.36,97.25,1.66,21.32,,21.32,2025-10-10,(Stock Name: Getty Realty Corporation; Sector: Real Estate; Revenue: 23.0cr; Net Profit: 10.0cr; Recommended: buy; Projected High: 39.0; Projected Medium: 36.0; Projected Low: 33.0)
CNI,239,M,21.64,11,26.17,122.25,61.72,98.07000000000001,1.56,25.78,2025-11-25,25.78,2025-11-21,(Stock Name: Canadian National Railway Compa; Sector: Industrials; Revenue: 1776.0cr; Net Profit: 478.0cr; Recommended: buy; Projected High: 153.32901; Projected Medium: 141.14357; Projected Low: 113.258354)
NBTB,1833,F,12.59,5,37.41,51.73,26.1,98.2,1.7,24.22,,24.22,2023-09-08,(Stock Name: NBT Bancorp Inc.; Sector: Financial Services; Revenue: 72.0cr; Net Profit: 21.0cr; Recommended: none; Projected High: 62.0; Projected Medium: 56.0; Projected Low: 54.0)
FNLC,3361,,10.37,5,25.97,34.95,17.62,98.35000000000001,2.6,36.74,,36.74,2024-06-07,(Stock Name: First Bancorp. Inc (ME); Sector: Financial Services; Revenue: 10.0cr; Net Profit: 4.0cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0)
AWK,484,F,23.86,27,58.7,137.69,69.41,98.37,2.02,,,13.76,2024-04-12,(Stock Name: American Water Works Company. I; Sector: Utilities; Revenue: 528.0cr; Net Profit: 113.0cr; Recommended: hold; Projected High: 162.0; Projected Medium: 140.0; Projected Low: 128.0)
XEL,339,F,20.68,10,38.53,75.5,38,98.68,1.75,13.63,,13.63,2024-07-12,(Stock Name: Xcel Energy Inc.; Sector: Utilities; Revenue: 1462.0cr; Net Profit: 223.0cr; Recommended: strong_buy; Projected High: 101.0; Projected Medium: 92.0; Projected Low: 74.0)
LKFN,2280,,13.89,29,31.11,60.58,30.49,98.69,1.81,10.27,,10.27,2025-06-13,(Stock Name: Lakeland Financial Corporation; Sector: Financial Services; Revenue: 27.0cr; Net Profit: 11.0cr; Recommended: none; Projected High: 67.0; Projected Medium: 66.5; Projected Low: 66.0)
